sno   var   func  total   actual  factor  avg    num           file
      node  node  reruns  reruns  graph   iters  soln          name
      size  size                  iters              
---   ---   ---   ---     ---     ---     ---    ---           ---
97    30    5     10      2       8       4      2.24114e+223  6s186_bdd.blif
98    30    5     20      2       8       4      2.24114e+223  6s186_bdd.blif
99    30    10    1       1       4       4      2.24114e+223  6s186_bdd.blif
100   30    10    2       0       4       0      NA            6s186_bdd.blif
101   30    10    3       0       4       0      NA            6s186_bdd.blif
102   30    10    4       0       4       0      NA            6s186_bdd.blif
103   30    10    5       0       4       0      NA            6s186_bdd.blif
104   30    10    10      0       4       0      NA            6s186_bdd.blif
105   30    10    20      0       4       0      NA            6s186_bdd.blif
106   40    1     1       1       4       4      2.31343e+223  6s186_bdd.blif
107   40    1     2       2       8       4      1.73507e+223  6s186_bdd.blif
108   40    1     3       3       12      4      1.4459e+223   6s186_bdd.blif
109   40    1     4       4       16      4      1.4459e+223   6s186_bdd.blif
110   40    1     5       4       16      4      1.4459e+223   6s186_bdd.blif
111   40    1     10      4       16      4      1.4459e+223   6s186_bdd.blif
112   40    1     20      4       16      4      1.4459e+223   6s186_bdd.blif
113   40    5     1       1       4       4      2.24114e+223  6s186_bdd.blif
114   40    5     2       2       8       4      1.68085e+223  6s186_bdd.blif
115   40    5     3       3       12      4      9.4548e+222   6s186_bdd.blif
116   40    5     4       4       16      4      6.56583e+222  6s186_bdd.blif
117   40    5     5       5       20      4      6.36886e+222  6s186_bdd.blif
118   40    5     10      6       24      4      6.36886e+222  6s186_bdd.blif
119   40    5     20      6       24      4      6.36886e+222  6s186_bdd.blif
120   40    10    1       0       0       0      NA            6s186_bdd.blif
121   40    10    2       2       8       4      1.68085e+223  6s186_bdd.blif
122   40    10    3       0       8       0      NA            6s186_bdd.blif
123   40    10    4       0       8       0      NA            6s186_bdd.blif
124   40    10    5       0       8       0      NA            6s186_bdd.blif
125   40    10    10      0       8       0      NA            6s186_bdd.blif
126   40    10    20      0       8       0      NA            6s186_bdd.blif
127   1     1     1       1       3       3      2.31343e+223  6s187_bdd.blif
128   1     1     2       2       6       3      2.31343e+223  6s187_bdd.blif
129   1     1     3       2       6       3      2.31343e+223  6s187_bdd.blif
130   1     1     4       2       6       3      2.31343e+223  6s187_bdd.blif
131   1     1     5       2       6       3      2.31343e+223  6s187_bdd.blif
132   1     1     10      2       6       3      2.31343e+223  6s187_bdd.blif
133   1     1     20      2       6       3      2.31343e+223  6s187_bdd.blif
134   1     5     1       1       3       3      2.31343e+223  6s187_bdd.blif
135   1     5     2       2       6       3      2.31343e+223  6s187_bdd.blif
136   1     5     3       2       6       3      2.31343e+223  6s187_bdd.blif
137   1     5     4       2       6       3      2.31343e+223  6s187_bdd.blif
138   1     5     5       2       6       3      2.31343e+223  6s187_bdd.blif
139   1     5     10      2       6       3      2.31343e+223  6s187_bdd.blif
140   1     5     20      2       6       3      2.31343e+223  6s187_bdd.blif
141   1     10    1       1       3       3      2.31343e+223  6s187_bdd.blif
142   1     10    2       2       6       3      2.31343e+223  6s187_bdd.blif
143   1     10    3       2       6       3      2.31343e+223  6s187_bdd.blif
144   1     10    4       2       6       3      2.31343e+223  6s187_bdd.blif
145   1     10    5       2       6       3      2.31343e+223  6s187_bdd.blif
146   1     10    10      2       6       3      2.31343e+223  6s187_bdd.blif
147   1     10    20      2       6       3      2.31343e+223  6s187_bdd.blif
148   5     1     1       1       4       4      2.31343e+223  6s187_bdd.blif
149   5     1     2       2       8       4      2.31343e+223  6s187_bdd.blif
150   5     1     3       2       8       4      2.31343e+223  6s187_bdd.blif
151   5     1     4       2       8       4      2.31343e+223  6s187_bdd.blif
152   5     1     5       2       8       4      2.31343e+223  6s187_bdd.blif
153   5     1     10      2       8       4      2.31343e+223  6s187_bdd.blif
154   5     1     20      2       8       4      2.31343e+223  6s187_bdd.blif
155   5     5     1       1       4       4      2.31343e+223  6s187_bdd.blif
156   5     5     2       2       8       4      2.31343e+223  6s187_bdd.blif
157   5     5     3       2       8       4      2.31343e+223  6s187_bdd.blif
158   5     5     4       2       8       4      2.31343e+223  6s187_bdd.blif
159   5     5     5       2       8       4      2.31343e+223  6s187_bdd.blif
160   5     5     10      2       8       4      2.31343e+223  6s187_bdd.blif
161   5     5     20      2       8       4      2.31343e+223  6s187_bdd.blif
162   5     10    1       1       4       4      2.31343e+223  6s187_bdd.blif
163   5     10    2       2       8       4      2.31343e+223  6s187_bdd.blif
164   5     10    3       2       8       4      2.31343e+223  6s187_bdd.blif
165   5     10    4       2       8       4      2.31343e+223  6s187_bdd.blif
166   5     10    5       2       8       4      2.31343e+223  6s187_bdd.blif
167   5     10    10      2       8       4      2.31343e+223  6s187_bdd.blif
168   5     10    20      2       8       4      2.31343e+223  6s187_bdd.blif
169   10    1     1       1       4       4      2.31343e+223  6s187_bdd.blif
170   10    1     2       2       8       4      2.31343e+223  6s187_bdd.blif
171   10    1     3       2       8       4      2.31343e+223  6s187_bdd.blif
172   10    1     4       2       8       4      2.31343e+223  6s187_bdd.blif
173   10    1     5       2       8       4      2.31343e+223  6s187_bdd.blif
174   10    1     10      2       8       4      2.31343e+223  6s187_bdd.blif
175   10    1     20      2       8       4      2.31343e+223  6s187_bdd.blif
176   10    5     1       1       4       4      2.31343e+223  6s187_bdd.blif
177   10    5     2       2       8       4      2.31343e+223  6s187_bdd.blif
178   10    5     3       2       8       4      2.31343e+223  6s187_bdd.blif
179   10    5     4       2       8       4      2.31343e+223  6s187_bdd.blif
180   10    5     5       2       8       4      2.31343e+223  6s187_bdd.blif
181   10    5     10      2       8       4      2.31343e+223  6s187_bdd.blif
182   10    5     20      2       8       4      2.31343e+223  6s187_bdd.blif
183   10    10    1       1       4       4      2.31343e+223  6s187_bdd.blif
184   10    10    2       0       4       0      NA            6s187_bdd.blif
185   10    10    3       0       4       0      NA            6s187_bdd.blif
186   10    10    4       0       4       0      NA            6s187_bdd.blif
187   10    10    5       0       4       0      NA            6s187_bdd.blif
188   10    10    10      0       4       0      NA            6s187_bdd.blif
189   10    10    20      0       4       0      NA            6s187_bdd.blif
190   20    1     1       1       4       4      2.31343e+223  6s187_bdd.blif
191   20    1     2       2       8       4      2.31343e+223  6s187_bdd.blif
192   20    1     3       2       8       4      2.31343e+223  6s187_bdd.blif
193   20    1     4       2       8       4      2.31343e+223  6s187_bdd.blif
194   20    1     5       2       8       4      2.31343e+223  6s187_bdd.blif
195   20    1     10      2       8       4      2.31343e+223  6s187_bdd.blif
196   20    1     20      2       8       4      2.31343e+223  6s187_bdd.blif
197   20    5     1       1       4       4      2.31343e+223  6s187_bdd.blif
198   20    5     2       2       8       4      2.31343e+223  6s187_bdd.blif
199   20    5     3       2       8       4      2.31343e+223  6s187_bdd.blif
200   20    5     4       2       8       4      2.31343e+223  6s187_bdd.blif
201   20    5     5       2       8       4      2.31343e+223  6s187_bdd.blif
202   20    5     10      2       8       4      2.31343e+223  6s187_bdd.blif
203   20    5     20      2       8       4      2.31343e+223  6s187_bdd.blif
204   20    10    1       1       4       4      2.31343e+223  6s187_bdd.blif
205   20    10    2       2       8       4      2.31343e+223  6s187_bdd.blif
206   20    10    3       2       8       4      2.31343e+223  6s187_bdd.blif
207   20    10    4       2       8       4      2.31343e+223  6s187_bdd.blif
208   20    10    5       2       8       4      2.31343e+223  6s187_bdd.blif
209   20    10    10      2       8       4      2.31343e+223  6s187_bdd.blif
210   20    10    20      2       8       4      2.31343e+223  6s187_bdd.blif
211   30    1     1       1       4       4      2.31343e+223  6s187_bdd.blif
212   30    1     2       2       8       4      2.31343e+223  6s187_bdd.blif
213   30    1     3       2       8       4      2.31343e+223  6s187_bdd.blif
214   30    1     4       2       8       4      2.31343e+223  6s187_bdd.blif
215   30    1     5       2       8       4      2.31343e+223  6s187_bdd.blif
216   30    1     10      2       8       4      2.31343e+223  6s187_bdd.blif
217   30    1     20      2       8       4      2.31343e+223  6s187_bdd.blif
218   30    5     1       1       4       4      2.31343e+223  6s187_bdd.blif
219   30    5     2       2       8       4      2.31343e+223  6s187_bdd.blif
220   30    5     3       2       8       4      2.31343e+223  6s187_bdd.blif
221   30    5     4       2       8       4      2.31343e+223  6s187_bdd.blif
222   30    5     5       2       8       4      2.31343e+223  6s187_bdd.blif
223   30    5     10      2       8       4      2.31343e+223  6s187_bdd.blif
224   30    5     20      2       8       4      2.31343e+223  6s187_bdd.blif
225   30    10    1       1       4       4      2.31343e+223  6s187_bdd.blif
226   30    10    2       2       8       4      2.31343e+223  6s187_bdd.blif
227   30    10    3       2       8       4      2.31343e+223  6s187_bdd.blif
228   30    10    4       2       8       4      2.31343e+223  6s187_bdd.blif
229   30    10    5       2       8       4      2.31343e+223  6s187_bdd.blif
