Name                                                                  | Status                                              | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time         | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence                  | MUS Status                     | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2018_mult_bool_matrix_12_13_11.sat                             | MUS timed out                                       | 25497 / 0 / 23485   | 25217 / 0 / 23485   | 75246 / 0 / 62548    | 7.04 / 1.95 / 2.93     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 5.84 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
Disjunctive_Decomposition_bobtuint14neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped.                         | 1415 / 0 / 1415     | 1203 / 0 / 1203     | 4588 / 0 / 4587      | 0.21 / 0.0 / 0.15      | PreProc-ed 1 rounds           |                   |                    |                  |                                 |                                |                                                         |            
QBFEval2017_small-bug1-fixpoint-4                                     | Preproc Solved, FG skipped.                         | 69 / 0 / 69         | 55 / 0 / 55         | 162 / 0 / 161        | 0.05 / 0.0 / 0.03      | PreProc-ed 1 rounds           |                   |                    |                  |                                 |                                |                                                         |            
QBFEval2018_ctrl.e#1.a#3.E#124.A#48.c#.w#7.s#50.asp                   | MUS timed out                                       | 7115 / 0 / 5398     | 6991 / 0 / 5398     | 20830 / 0 / 10985    | 3.27 / 1.12 / 1.16     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 172.18 sec, ONE        | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_query23_query42_1344n                                     | MUS timed out                                       | 961 / 0 / 422       | 879 / 0 / 422       | 4968 / 0 / 366       | 2.9 / 1.87 / 0.6       | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 246.34 sec, ONE        | MUS TimedOut after 1 rounds    | 0.69 / 0.01 / 4968 / 0                                  | 1500.0     
QBFEval2017_amba2c7n.sat                                              | MUS timed out                                       | 1381 / 0 / 777      | 1345 / 0 / 777      | 6475 / 0 / 1944      | 2.73 / 1.21 / 0.82     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 1434.0 sec, ONE        | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_driver_a10y.sat                                           | MUS timed out                                       | 5500 / 0 / 3776     | 5077 / 0 / 3776     | 15005 / 0 / 7687     | 3.61 / 1.93 / 0.96     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 48.61 sec, ONE         | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_bs128n.sat                                                | MUS timed out                                       | 6938 / 0 / 5381     | 6801 / 0 / 5381     | 20267 / 0 / 10548    | 5.37 / 1.89 / 1.74     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 25.35 sec, ONE         | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_decomposition256                                          | Preproc Solved, FG skipped.                         | 2282 / 0 / 2282     | 2026 / 0 / 2026     | 6308 / 0 / 6307      | 0.22 / 0.0 / 0.15      | PreProc-ed 1 rounds           |                   |                    |                  |                                 |                                |                                                         |            
Arithmetic_equalization64                                             | Preproc Solved, FG skipped.                         | 906 / 0 / 906       | 778 / 0 / 778       | 2793 / 0 / 2792      | 0.58 / 0.0 / 0.44      | PreProc-ed 1 rounds           |                   |                    |                  |                                 |                                |                                                         |            
QBFEval2018_stmt16_818_819                                            | Preproc finished unsolved, FG skipped, MUS finished | 445 / 0 / 424       | 382 / 0 / 370       | 1517 / 0 / 1493      | 0.84 / 0.0 / 0.16      | PreProc-ed 0 rounds           |                   |                    |                  | 0 iters, 0.0 sec, ONE           | MUS Finished after 0 rounds    |                                                         | 0.06       
QBFEval2017_rankfunc59_signed_64                                      | MUS timed out                                       | 5145 / 0 / 3054     | 4505 / 0 / 3054     | 13523 / 0 / 7062     | 3.87 / 1.86 / 1.4      | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 559.92 sec, ONE        | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_stmt5_731_730                                             | Preproc finished unsolved, FG skipped, MUS finished | 690 / 32 / 595      | 626 / 18 / 570      | 2269 / 36 / 1975     | 0.81 / 0.27 / 0.36     | PreProc-ed 3 rounds           |                   |                    |                  | 0 iters, 0.01 sec, ONE          | MUS Finished after 0 rounds    |                                                         | 0.12       
QBFEval2017_LoginService                                              | MUS timed out                                       | 5285 / 0 / 3238     | 5193 / 0 / 3238     | 21660 / 0 / 8388     | 6.39 / 2.06 / 2.31     | PreProc-ed 3 rounds           |                   |                    |                  | 0 iters, 604.35 sec, ONE        | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_Q_2-3_v-80-100_r-11.5                                     | MUS timed out                                       | 180 / 0 / 0         | 100 / 0 / 0         | 1100 / 0 / 0         | 0.32 / 0.21 / 0.07     | PreProc-ed 1 rounds           |                   |                    |                  | 0 iters, 11.35 sec, ONE         | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
Disjunctive_Decomposition_bobtuint31neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped.                         | 1417 / 0 / 1417     | 1205 / 0 / 1205     | 4587 / 0 / 4586      | 0.24 / 0.0 / 0.18      | PreProc-ed 1 rounds           |                   |                    |                  |                                 |                                |                                                         |            
QBFEval2017_itc-b13-fixpoint-3                                        | MUS timed out                                       | 3509 / 68 / 3126    | 3295 / 68 / 3114    | 10014 / 142 / 8774   | 3.01 / 0.94 / 1.3      | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 0.93 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
