Total number of cases: 906
Finished cases       : 906
Timed out cases      : 774
 |                                                             Case name | Pass/Fail | Preparation Time | Solve time | 
 |  Disjunctive_Decomposition_bobtuint05neg_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
 |     Disjunctive_Decomposition_bobtuint06_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint06neg_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint07neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint08neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint09neg_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint10neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint11neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint12neg_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint13neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint14neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint15neg_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint16neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint17neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint18neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint19neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint20neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint21neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint22neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint23neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint24neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobtuint25neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
