Name                                                                  | Status                                             | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time          | PreProc Status                  | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2017_stmt21_178_258                                            | Preproc finished unsolved, FG skipped, MUS skipped | 3281 / 0 / 2322     | 3071 / 0 / 2293     | 10569 / 0 / 6191     | 2.29 / 0.0 / 1.67       | PreProc-ed 4 rounds             |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_AR-fixpoint-2                                             | Preproc finished unsolved, FG skipped, MUS skipped | 132560 / 0 / 64617  | 117554 / 0 / 64617  | 412621 / 0 / 106132  | 46.83 / 0.0 / 38.07     | PreProc-ed 7 rounds             |                   |                    |                  |                |            |                                                         | 1.32       
QBFEval2017_exquery_query42_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 618 / 0 / 351       | 556 / 0 / 351       | 1647 / 0 / 343       | 0.42 / 0.0 / 0.35       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_query64_query11_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 1111 / 0 / 701      | 1021 / 0 / 701      | 2621 / 0 / 694       | 0.96 / 0.0 / 0.75       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_query31_query50_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 859 / 0 / 597       | 793 / 0 / 597       | 1881 / 0 / 565       | 1.02 / 0.0 / 0.76       | PreProc-ed 4 rounds             |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_usb-phy-fixpoint-1                                        | Preproc finished unsolved, FG skipped, MUS skipped | 1630 / 0 / 911      | 1296 / 0 / 911      | 4395 / 0 / 2107      | 2.56 / 0.0 / 1.91       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.2        
QBFEval2017_bs128y.sat                                                | Preproc finished unsolved, FG skipped, MUS skipped | 6934 / 0 / 5374     | 6797 / 0 / 5374     | 20255 / 0 / 10519    | 4.61 / 0.0 / 3.19       | PreProc-ed 4 rounds             |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2018_cache-coherence-3-fixpoint-1                              | Preproc finished unsolved, FG skipped, MUS skipped | 2544 / 0 / 1576     | 2144 / 0 / 1576     | 7154 / 0 / 3612      | 3.39 / 0.0 / 2.45       | PreProc-ed 6 rounds             |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_stmt17_82_94                                              | Preproc finished unsolved, FG skipped, MUS skipped | 11569 / 0 / 8879    | 11061 / 0 / 8723    | 45347 / 0 / 30049    | 16.2 / 0.0 / 11.19      | PreProc-ed 7 rounds             |                   |                    |                  |                |            |                                                         | 0.34       
Disjunctive_Decomposition_neclaftp2002_all_bit_differing_from_cycle   | Preproc finished unsolved, FG skipped, MUS skipped | 12007 / 0 / 3365    | 7734 / 0 / 3365     | 34731 / 0 / 4883     | 10.37 / 0.0 / 7.52      | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.17       
Arithmetic_intermediate512                                            | Preproc finished unsolved, FG skipped, MUS skipped | 5118 / 0 / 2047     | 4094 / 0 / 2047     | 14836 / 0 / 1553     | 4.31 / 0.0 / 3.19       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2017_small-dyn-partition-fixpoint-7                            | Preproc finished unsolved, FG skipped, MUS skipped | 779 / 0 / 659       | 715 / 0 / 659       | 2229 / 0 / 1759      | 1.31 / 0.0 / 1.06       | PreProc-ed 5 rounds             |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2017_query60_query42_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 3535 / 0 / 2018     | 3399 / 0 / 2018     | 12608 / 0 / 1956     | 5.41 / 0.0 / 4.02       | PreProc-ed 4 rounds             |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2017_stmt21_354_403                                            | Preproc finished unsolved, FG skipped, MUS skipped | 5867 / 0 / 4170     | 5587 / 0 / 4125     | 19983 / 0 / 11830    | 6.95 / 0.0 / 4.93       | PreProc-ed 6 rounds             |                   |                    |                  |                |            |                                                         | 0.17       
QBFEval2018_mult9.sat                                                 | Preproc finished unsolved, FG skipped, MUS skipped | 1564 / 0 / 1174     | 1545 / 0 / 1174     | 4576 / 0 / 2234      | 0.71 / 0.0 / 0.54       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         | 0.29       
QBFEval2018_stmt21_71_413                                             | Preproc finished unsolved, FG skipped, MUS skipped | 3545 / 0 / 2035     | 3265 / 0 / 1992     | 12035 / 0 / 4878     | 5.4 / 0.0 / 3.87        | PreProc-ed 6 rounds             |                   |                    |                  |                |            |                                                         | 0.15       
QBFEval2018_ceiling256                                                | Preproc Solved, FG skipped.                        | 2638 / 0 / 2638     | 2126 / 0 / 2126     | 7753 / 0 / 7752      | 0.38 / 0.0 / 0.34       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         |            
Disjunctive_Decomposition_bobtuint09neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped.                        | 1190 / 0 / 1190     | 978 / 0 / 978       | 3621 / 0 / 3620      | 0.44 / 0.0 / 0.39       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         |            
