Name                                                                  | Status                      | T / B / K Vars       | T / B / K QVars      | T / B / K Clauses       | T / B / K Time            | PreProc Status                 | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence                | MUS Status                   | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2017_stmt19_79_83                                              | FG timed out                | 9829 / 141 / 7552    | 9408 / 106 / 7433    | 38279 / 906 / 24995     | 26.61 / 14.81 / 9.45      | PreProc-ed 7 rounds            | 0.75 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_stmt19_368_417                                            | FG timed out                | 5947 / 13 / 4141     | 5666 / 13 / 4095     | 20370 / 61 / 11697      | 18.24 / 12.43 / 4.77      | PreProc-ed 6 rounds            | 0.47 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_GuidanceService                                           | FG timed out                | 3261 / 58 / 2208     | 3192 / 58 / 2208     | 11491 / 2 / 6109        | 8.16 / 5.84 / 1.9         | PreProc-ed 4 rounds            | 0.14 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_small-swap1-fixpoint-6                                    | MUS timed out               | 1878 / 0 / 1050      | 1458 / 0 / 1050      | 5335 / 0 / 3230         | 9.97 / 6.49 / 2.95        | PreProc-ed 11 rounds           | 0.04 sec          | 69 / 11 / 6.05086  | 0.03 sec         | 4 iters, 0.25 sec, ONE        | MUS TimedOut after 0 rounds  |                                                         | 10.0       
QBFEval2017_query45_query42_1344n                                     | FG timed out                | 1026 / 17 / 674      | 952 / 17 / 674       | 2427 / 17 / 658         | 2.08 / 1.29 / 0.7         | PreProc-ed 2 rounds            | 0.04 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_small-swap1-fixpoint-9                                    | FG timed out                | 2814 / 0 / 1574      | 2214 / 0 / 1574      | 8107 / 0 / 4840         | 6.7 / 4.27 / 2.09         | PreProc-ed 5 rounds            | 0.09 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_itc-b13-fixpoint-8                                        | FG timed out                | 10264 / 345 / 8977   | 9770 / 345 / 8960    | 29564 / 983 / 24706     | 30.49 / 21.93 / 7.03      | PreProc-ed 12 rounds           | 0.17 sec          |                    |                  |                               |                              |                                                         | 10.0       
Disjunctive_Decomposition_neclaftp2002_all_bit_differing_from_cycle   | FG timed out                | 12007 / 4 / 3361     | 7734 / 4 / 3361      | 34731 / 10 / 4872       | 11.95 / 5.87 / 4.96       | PreProc-ed 2 rounds            | 3.33 sec          |                    |                  |                               |                              |                                                         | 10.0       
Disjunctive_Decomposition_bobsynthetic2_all_bit_differing_from_cycle  | FG timed out                | 5347 / 4 / 2500      | 5147 / 4 / 2500      | 18581 / 10 / 3469       | 11.07 / 5.57 / 4.32       | PreProc-ed 4 rounds            | 1.21 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_sortnetsort10.AE.stepl.011                                | FG timed out                | 11241 / 495 / 2540   | 9162 / 495 / 2540    | 18786 / 495 / 2968      | 5.89 / 3.08 / 2.21        | PreProc-ed 2 rounds            |                   |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_itc-b13-fixpoint-7                                        | FG timed out                | 8913 / 299 / 7805    | 8475 / 299 / 7789    | 25654 / 852 / 21563     | 18.37 / 12.84 / 4.66      | PreProc-ed 8 rounds            | 0.18 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_cache-coherence-2-fixpoint-5                              | FG timed out                | 9604 / 64 / 5674     | 8776 / 64 / 5674     | 28198 / 132 / 11495     | 18.62 / 10.16 / 6.94      | PreProc-ed 5 rounds            | 1.49 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_stmt17_70_82                                              | FG timed out                | 8959 / 139 / 6890    | 8538 / 104 / 6771    | 34745 / 895 / 22580     | 22.29 / 12.4 / 8.12       | PreProc-ed 7 rounds            | 0.56 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_stmt31_276_328                                            | FG timed out                | 4839 / 7 / 3358      | 4595 / 7 / 3328      | 15999 / 31 / 8858       | 15.16 / 10.41 / 3.94      | PreProc-ed 6 rounds            | 0.28 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_stmt19_302_352                                            | FG timed out                | 5227 / 7 / 3664      | 4967 / 7 / 3624      | 17519 / 31 / 10122      | 25.81 / 17.5 / 7.1        | PreProc-ed 10 rounds           | 0.3 sec           |                    |                  |                               |                              |                                                         | 10.0       
Arithmetic_ceiling256                                                 | Preproc Solved, FG skipped. | 2638 / 4 / 2634      | 2126 / 4 / 2122      | 7753 / 9 / 7743         | 1.9 / 1.41 / 0.37         | PreProc-ed 1 rounds            |                   |                    |                  |                               |                              |                                                         |            
QBFEval2017_stmt19_75_95                                              | FG timed out                | 10699 / 141 / 8173   | 10191 / 106 / 8018   | 41813 / 889 / 27083     | 29.02 / 15.6 / 10.69      | PreProc-ed 7 rounds            | 0.9 sec           |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_stmt31_22_328                                             | FG timed out                | 2937 / 5 / 1747      | 2693 / 5 / 1707      | 9739 / 21 / 4163        | 13.19 / 8.82 / 3.55       | PreProc-ed 7 rounds            | 0.15 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2018_cache-coherence-3-fixpoint-2                              | FG timed out                | 5488 / 33 / 3109     | 4888 / 33 / 3109     | 15891 / 72 / 6250       | 9.18 / 6.08 / 2.28        | PreProc-ed 3 rounds            | 0.54 sec          |                    |                  |                               |                              |                                                         | 10.0       
Disjunctive_Decomposition_bobsm5378d2_all_bit_differing_from_cycle    | MUS timed out               | 868 / 4 / 208        | 612 / 4 / 208        | 2835 / 10 / 333         | 1.96 / 1.34 / 0.52        | PreProc-ed 2 rounds            | 0.04 sec          | 36 / 8 / 5.60171   | 0.07 sec         | 5 iters, 0.94 sec, ONE        | MUS TimedOut after 0 rounds  |                                                         | 10.0       
QBFEval2017_rankfunc31_signed_64                                      | Preproc Solved, FG skipped. | 6624 / 20 / 6604     | 6112 / 20 / 6092     | 17297 / 20 / 17276      | 2.25 / 1.67 / 0.37        | PreProc-ed 1 rounds            |                   |                    |                  |                               |                              |                                                         |            
QBFEval2017_amba3b5y.sat                                              | FG timed out                | 1627 / 1 / 482       | 1581 / 1 / 482       | 10913 / 3 / 1133        | 3.85 / 2.27 / 1.12        | PreProc-ed 2 rounds            | 0.24 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_small-dyn-partition-fixpoint-1                            | Preproc Solved, FG skipped. | 87 / 0 / 71          | 71 / 0 / 71          | 221 / 0 / 220           | 0.15 / 0.09 / 0.05        | PreProc-ed 1 rounds            |                   |                    |                  |                               |                              |                                                         |            
Arithmetic_ceiling512                                                 | Preproc Solved, FG skipped. | 5284 / 4 / 5280      | 4260 / 4 / 4256      | 15541 / 8 / 15532       | 5.74 / 3.83 / 1.5         | PreProc-ed 2 rounds            |                   |                    |                  |                               |                              |                                                         |            
QBFEval2017_small-equiv-fixpoint-7                                    | FG timed out                | 15098 / 1830 / 8097  | 14842 / 1830 / 8097  | 49737 / 5250 / 15217    | 19.5 / 10.17 / 7.5        | PreProc-ed 3 rounds            | 3.93 sec          |                    |                  |                               |                              |                                                         | 10.0       
Disjunctive_Decomposition_bobtuint28neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped. | 1415 / 4 / 1411      | 1203 / 4 / 1199      | 4597 / 10 / 4586        | 1.1 / 0.91 / 0.13         | PreProc-ed 1 rounds            |                   |                    |                  |                               |                              |                                                         |            
QBFEval2017_bs128n.sat                                                | FG timed out                | 6938 / 1 / 5380      | 6801 / 1 / 5380      | 20267 / 3 / 10545       | 9.34 / 5.02 / 3.39        | PreProc-ed 4 rounds            | 0.38 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2018_axquery_query42_1344n                                     | MUS timed out               | 618 / 17 / 334       | 556 / 17 / 334       | 1647 / 17 / 326         | 0.8 / 0.55 / 0.2          | PreProc-ed 2 rounds            | 0.03 sec          | 17 / 4 / 7.86247   | 0.03 sec         | 4 iters, 0.52 sec, ONE        | MUS TimedOut after 0 rounds  |                                                         | 10.0       
QBFEval2017_small-equiv-fixpoint-8                                    | FG timed out                | 17113 / 2074 / 9175  | 16825 / 2074 / 9175  | 56379 / 5950 / 17224    | 22.47 / 12.09 / 8.41      | PreProc-ed 3 rounds            | 5.2 sec           |                    |                  |                               |                              |                                                         | 10.0       
Disjunctive_Decomposition_neclaftp4002_all_bit_differing_from_cycle   | FG timed out                | 3876 / 4 / 1048      | 2782 / 4 / 1048      | 12922 / 10 / 1480       | 7.87 / 4.7 / 2.58         | PreProc-ed 3 rounds            | 0.49 sec          |                    |                  |                               |                              |                                                         | 10.0       
Disjunctive_Decomposition_bobsmhdlc1_all_bit_differing_from_cycle     | MUS timed out               | 747 / 4 / 248        | 565 / 4 / 248        | 2446 / 10 / 413         | 2.35 / 1.68 / 0.56        | PreProc-ed 3 rounds            | 0.03 sec          | 28 / 7 / 4.53243   | 0.08 sec         | 4 iters, 0.91 sec, ONE        | MUS TimedOut after 0 rounds  |                                                         | 10.0       
QBFEval2017_query50_query42_1344n                                     | FG timed out                | 1026 / 17 / 674      | 952 / 17 / 674       | 2427 / 17 / 634         | 2.4 / 1.53 / 0.55         | PreProc-ed 2 rounds            | 0.04 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_rankfunc59_signed_64                                      | FG timed out                | 5145 / 14 / 3040     | 4505 / 14 / 3040     | 13523 / 14 / 7048       | 5.03 / 3.11 / 1.6         | PreProc-ed 2 rounds            | 0.35 sec          |                    |                  |                               |                              |                                                         | 10.0       
Arithmetic_equalization128                                            | Preproc Solved, FG skipped. | 1863 / 169 / 1694    | 1607 / 169 / 1438    | 5754 / 508 / 5245       | 1.18 / 0.95 / 0.15        | PreProc-ed 1 rounds            |                   |                    |                  |                               |                              |                                                         |            
QBFEval2017_cycle_sched_6_6_2.sat                                     | FG timed out                | 6436 / 3 / 4344      | 6163 / 3 / 4344      | 19725 / 853 / 9811      | 8.12 / 5.4 / 1.97         | PreProc-ed 3 rounds            | 0.57 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_stmt28_73_97                                              | FG timed out                | 11134 / 140 / 8493   | 10597 / 105 / 8326   | 43580 / 906 / 28167     | 28.49 / 15.59 / 10.4      | PreProc-ed 7 rounds            | 0.81 sec          |                    |                  |                               |                              |                                                         | 10.0       
