Name                                                                  | Status                                              | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time         | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status                     | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2018_intermediate256                                           | MUS timed out                                       | 2558 / 0 / 1023     | 2046 / 0 / 1023     | 7412 / 0 / 785       | 3.22 / 1.79 / 0.76     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
Arithmetic_decomposition256                                           | Preproc Solved, FG skipped.                         | 2282 / 0 / 2282     | 2026 / 0 / 2026     | 6308 / 0 / 6307      | 0.63 / 0.0 / 0.4       | PreProc-ed 1 rounds           |                   |                    |                  |                |                                |                                                         |            
QBFEval2018_itc-b13-fixpoint-3                                        | MUS timed out                                       | 3509 / 68 / 3126    | 3295 / 68 / 3114    | 10014 / 142 / 8774   | 2.55 / 0.77 / 1.1      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_cycle_sched_4_7_1.sat                                     | MUS timed out                                       | 32909 / 0 / 29898   | 32711 / 0 / 29898   | 99227 / 0 / 73520    | 54.16 / 6.38 / 26.69   | PreProc-ed 3 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
Arithmetic_equalization128                                            | Preproc Solved, FG skipped.                         | 1863 / 0 / 1863     | 1607 / 0 / 1607     | 5754 / 0 / 5753      | 0.59 / 0.0 / 0.35      | PreProc-ed 1 rounds           |                   |                    |                  |                |                                |                                                         |            
QBFEval2018_small-pipeline-fixpoint-3                                 | MUS timed out                                       | 5159 / 0 / 3115     | 4228 / 0 / 3115     | 14407 / 0 / 7326     | 4.21 / 1.96 / 1.28     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_rankfunc35_signed_64                                      | MUS timed out                                       | 5278 / 0 / 3110     | 4766 / 0 / 3110     | 15114 / 0 / 7635     | 9.88 / 2.68 / 4.47     | PreProc-ed 3 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_ctrl.e#1.a#3.E#128.A#48.c#.w#9.s#60.asp                   | MUS timed out                                       | 9391 / 0 / 7220     | 9263 / 0 / 7220     | 27646 / 0 / 14692    | 4.38 / 1.53 / 1.51     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_query10_query42_1344n                                     | MUS timed out                                       | 8963 / 0 / 5518     | 8783 / 0 / 5518     | 42366 / 0 / 5350     | 19.66 / 2.17 / 10.35   | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_small-swap1-fixpoint-9                                    | MUS timed out                                       | 2814 / 0 / 1574     | 2214 / 0 / 1574     | 8107 / 0 / 4904      | 2.78 / 0.85 / 1.17     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
