All timings are in seconds.

nClauses      -> number of clauses in input cnf
nVars         -> number of variables in input cnf
parseTim      -> time taken to parse cnf
bddCreat      -> time taken to create bdds of clauses
mergeTim      -> time taken to merge factor and variable BDDs based on Largest Support Set input parameter
mergedFn      -> number of factors after merging
mergedVr      -> number of variables after merging
FG Creat      -> time taken to create Factor Graph from merged factors and variables
FG Iters      -> number of iterations to reach factor graph convergence
FG Conv       -> time taken to converge Factor Graph
CNF Creat     -> time taken to convert Factor Graph solution to CNF
nSoln         -> number of MUSes found by MUST that added a clause to final solution
nDisabledSets -> number of disabled sets in MUST problem space due to MUSes that satisfied Factor Graph
numMus        -> total number of MUSes found
exploreTime   -> time spent by mustool finding MUSes
mucProcTime   -> time spent processing MUSes
done          -> whether processing finished (Y) or timed out (<blank>)
case name     -> test case name


nClauses | nVars    | parseTim | bddCreat | mergeTim | mergedFn | mergedVr | FG Creat | FG Iters | FG Conv  | CNF Creat| nSoln    | nDisabledSets    | numMus   | exploreTime | mucProcTime | done | case name
    2897 |     1262 |     0.00 |     0.14 |     6.16 |      167 |       41 |     0.02 |        6 |     0.04 |     0.32 |          |                  |          |       0.000 |       0.000 |      | query54_query42_1344n.qdimacs
  932741 |   292619 |     1.19 |     0.00 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | AR-fixpoint-4.qdimacs
   20830 |     7115 |     0.02 |     7.34 |   302.19 |      651 |      229 |     0.71 |        4 |     0.17 |     9.02 |          |                  |          |       0.000 |       0.000 |      | ctrl.e#1.a#3.E#124.A#48.c#.w#7.s#50.asp.qdimacs
    4968 |      961 |     0.01 |     0.08 |     7.24 |      230 |       32 |     0.03 |        4 |     0.06 |     0.29 |        1 |                  |        2 |       0.783 |       0.040 |      | query23_query42_1344n.qdimacs
    9214 |     3247 |     0.01 |     1.37 |    51.23 |      311 |      105 |     0.12 |        3 |     0.08 |     1.90 |          |                  |          |       0.000 |       0.000 |      | ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#1.asp.qdimacs
   20267 |     6938 |     0.02 |     6.75 |   300.33 |      634 |      224 |     0.51 |        4 |     0.14 |     8.59 |          |                  |          |       0.000 |       0.000 |      | bs128n.sat.qdimacs
  102404 |    34863 |     0.13 |   229.10 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | beemskbn1f1_c0to7.sat.qdimacs
   64800 |    20155 |     0.08 |    67.04 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | load_3c_comp_comp6_REAL.sat.qdimacs
    7573 |     2708 |     0.01 |     0.87 |    34.25 |      432 |       89 |     0.09 |        4 |     0.10 |     1.35 |        1 |                  |        2 |       3.096 |       0.052 |      | query30_query42_1344n.qdimacs
    9420 |     2900 |     0.01 |     1.00 |    36.29 |      203 |       97 |     0.09 |        4 |     0.12 |     1.32 |          |                  |          |       0.000 |       0.000 |      | stmt53_208_245.qdimacs
    1995 |      738 |     0.00 |     0.04 |     2.17 |      121 |       24 |     0.02 |        6 |     0.03 |     0.14 |        1 |                  |        2 |       8.177 |       0.036 |      | query26_query42_1344n.qdimacs
   12608 |     3535 |     0.02 |     1.77 |    75.59 |      691 |      117 |     0.20 |        4 |     0.20 |     2.48 |          |                  |          |       0.000 |       0.000 |      | query60_query42_1344n.qdimacs
    2427 |     1026 |     0.00 |     0.08 |     5.03 |      146 |       33 |     0.02 |        6 |     0.03 |     0.13 |          |                  |          |       0.000 |       0.000 |      | query50_query42_1344n.qdimacs
   21667 |     5289 |     0.03 |     3.87 |   162.42 |      722 |      170 |     0.32 |        4 |     0.14 |     4.81 |          |                  |          |       0.000 |       0.000 |      | LoginService.qdimacs
   11422 |     3364 |     0.01 |     1.31 |    54.26 |      247 |      105 |     0.12 |        4 |     0.09 |     1.94 |          |                  |          |       0.000 |       0.000 |      | stmt22_6_414.qdimacs
   53216 |    10043 |     0.06 |    16.61 |   943.89 |     2779 |      322 |     2.59 |        4 |     1.04 |    21.60 |          |                  |          |       0.000 |       0.000 |      | query42_query42_1344n.qdimacs
   10224 |     2869 |     0.01 |     1.03 |    47.92 |      542 |       94 |     0.12 |        4 |     0.16 |     1.42 |          |                  |          |       0.000 |       0.000 |      | query71_query31_1344n.qdimacs
   13647 |     4044 |     0.02 |     1.90 |    78.88 |      308 |      132 |     0.19 |        4 |     0.11 |     2.93 |          |                  |          |       0.000 |       0.000 |      | stmt19_137_408.qdimacs
    6391 |     2139 |     0.01 |     0.46 |    17.70 |      248 |       69 |     0.05 |        4 |     0.04 |     0.88 |          |                  |          |       0.000 |       0.000 |      | small-synabs-fixpoint-10.qdimacs
   17671 |     5255 |     0.02 |     3.54 |   142.99 |      379 |      173 |     0.33 |        4 |     0.14 |     4.92 |          |                  |          |       0.000 |       0.000 |      | stmt46_289_388.qdimacs
