All timings are in seconds.

nClauses      -> number of clauses in input cnf
nVars         -> number of variables in input cnf
parseTim      -> time taken to parse cnf
bddCreat      -> time taken to create bdds of clauses
mergeTim      -> time taken to merge factor and variable BDDs based on Largest Support Set input parameter
mergedFn      -> number of factors after merging
mergedVr      -> number of variables after merging
FG Creat      -> time taken to create Factor Graph from merged factors and variables
FG Iters      -> number of iterations to reach factor graph convergence
FG Conv       -> time taken to converge Factor Graph
CNF Creat     -> time taken to convert Factor Graph solution to CNF
nSoln         -> number of MUSes found by MUST that added a clause to final solution
nDisabledSets -> number of disabled sets in MUST problem space due to MUSes that satisfied Factor Graph
numMus        -> total number of MUSes found
exploreTime   -> time spent by mustool finding MUSes
mucProcTime   -> time spent processing MUSes
done          -> whether processing finished (Y) or timed out (<blank>)
case name     -> test case name


nClauses | nVars    | parseTim | bddCreat | mergeTim | mergedFn | mergedVr | FG Creat | FG Iters | FG Conv  | CNF Creat| nSoln    | nDisabledSets    | numMus   | exploreTime | mucProcTime | done | case name
    1300 |      180 |     0.00 |     0.01 |     2.14 |      223 |        6 |     0.02 |        1 |     0.01 |     0.00 |        1 |                  |        2 |       3.658 |       0.128 |      | Q_2-3_v-80-100_r-13.4.qdimacs
   36453 |    11069 |     0.04 |    20.08 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | small-equiv-fixpoint-5.qdimacs
   31211 |     8089 |     0.03 |    10.23 |   405.39 |      656 |      262 |     1.42 |        5 |     0.24 |    13.62 |          |                  |          |       0.000 |       0.000 |      | stmt23_72_76.qdimacs
    4623 |     1808 |     0.00 |     0.38 |    10.54 |      194 |       58 |     0.04 |        4 |     0.03 |     0.65 |          |                  |          |       0.000 |       0.000 |      | rankfunc56_unsigned_64.qdimacs
   38279 |     9829 |     0.05 |    13.12 |   612.47 |      753 |      309 |     1.61 |        6 |     0.26 |    19.48 |          |                  |          |       0.000 |       0.000 |      | stmt28_73_85.qdimacs
    1100 |      180 |     0.00 |     0.01 |     1.56 |      187 |        6 |     0.04 |        1 |     0.01 |     0.01 |          |                  |          |       0.000 |       0.000 |      | Q_2-3_v-80-100_r-11.9.qdimacs
    2703 |     1182 |     0.00 |     0.12 |     5.58 |      149 |       38 |     0.02 |        6 |     0.04 |     0.26 |          |                  |          |       0.000 |       0.000 |      | query36_query42_1344n.qdimacs
   21502 |     7343 |     0.02 |     9.17 |   360.73 |      677 |      231 |     0.98 |        4 |     0.19 |    11.49 |          |                  |          |       0.000 |       0.000 |      | ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#60.asp.qdimacs
    1651 |      616 |     0.00 |     0.04 |     1.40 |       44 |       21 |     0.02 |        4 |     0.04 |     0.05 |          |                  |          |       0.000 |       0.000 |      | add20y.sat.qdimacs
   24907 |     8373 |     0.03 |    11.16 |   391.91 |      773 |      270 |     1.28 |        6 |     0.21 |    15.67 |          |                  |          |       0.000 |       0.000 |      | stay24n.sat.qdimacs
    1300 |      180 |     0.00 |     0.01 |     2.30 |      222 |        7 |     0.02 |        1 |     0.05 |     0.00 |        1 |                  |        2 |      37.419 |       0.156 |      | Q_2-3_v-80-100_r-13.7.qdimacs
   46445 |    17103 |     0.06 |    46.19 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | ethernet-fixpoint-4.qdimacs
    1300 |      180 |     0.00 |     0.01 |     2.07 |      222 |        6 |     0.01 |        1 |     0.01 |     0.01 |        1 |                  |        2 |     470.231 |       0.125 |      | Q_2-3_v-80-100_r-13.2.qdimacs
   19424 |     6644 |     0.02 |     5.66 |   233.35 |      741 |      214 |     0.64 |        6 |     0.26 |     8.31 |          |                  |          |       0.000 |       0.000 |      | ltl2dpa_C26_comp2_REAL.sat.qdimacs
    7380 |     2236 |     0.01 |     0.61 |    30.34 |      435 |       70 |     0.09 |        4 |     0.13 |     1.04 |          |                  |          |       0.000 |       0.000 |    Y | query49_ntrivil_1344n.qdimacs
    4124 |     2465 |     0.00 |     1.03 |    22.18 |      269 |       80 |     0.10 |        4 |     0.11 |     1.18 |          |                  |          |       0.000 |       0.000 |    Y | sortnetsort8.AE.stepl.004.qdimacs
    2427 |     1026 |     0.00 |     0.08 |     4.79 |      139 |       33 |     0.02 |        6 |     0.04 |     0.33 |          |                  |          |       0.000 |       0.000 |      | eequery_query42_1344n.qdimacs
 1452861 |   452677 |     1.93 |     0.00 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | AR-fixpoint-6.qdimacs
    8411 |     3416 |     0.01 |     1.28 |    46.74 |      363 |      110 |     0.12 |        4 |     0.06 |     1.98 |          |                  |          |       0.000 |       0.000 |      | rankfunc53_unsigned_64.qdimacs
    1100 |      180 |     0.00 |     0.01 |     1.61 |      190 |        7 |     0.03 |        1 |     0.02 |     0.01 |          |                  |          |       0.000 |       0.000 |      | Q_2-3_v-80-100_r-11.6.qdimacs
   68921 |    21506 |     0.09 |    72.24 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | small-seq-fixpoint-7.qdimacs
   17937 |     5317 |     0.02 |     3.86 |   153.16 |      389 |      173 |     0.36 |        4 |     0.14 |     4.92 |          |                  |          |       0.000 |       0.000 |      | stmt52_295_394.qdimacs
    3578 |     1298 |     0.00 |     0.07 |     4.53 |      158 |       36 |     0.02 |        5 |     0.02 |     0.36 |          |                  |          |       0.000 |       0.000 |      | eijkbs3330.qdimacs
   17080 |    10221 |     0.02 |    15.52 |   445.11 |     1539 |      326 |     2.05 |        4 |     2.50 |    20.57 |          |                  |          |       0.000 |       0.000 |      | sortnetsort10.AE.stepl.010.qdimacs
    1893 |      722 |     0.00 |     0.02 |     1.70 |       93 |       20 |     0.01 |        3 |     0.01 |     0.06 |          |                  |          |       0.000 |       0.000 |      | pdtpmsrotate32.qdimacs
    7054 |     1957 |     0.01 |     0.43 |    22.27 |      398 |       65 |     0.09 |        4 |     0.13 |     0.74 |          |                  |          |       0.000 |       0.000 |      | query48_exquery_1344n.qdimacs
   18545 |     5487 |     0.02 |     4.72 |   174.87 |      424 |      178 |     0.44 |        4 |     0.15 |     6.00 |          |                  |          |       0.000 |       0.000 |      | stmt19_313_412.qdimacs
   20351 |     6733 |     0.02 |     6.19 |   267.69 |      578 |      215 |     0.75 |        5 |     0.33 |     9.09 |          |                  |          |       0.000 |       0.000 |      | cycle_sched_6_7_1.sat.qdimacs
    1300 |      180 |     0.00 |     0.01 |     2.30 |      219 |        6 |     0.02 |        1 |     0.01 |     0.00 |        1 |                  |        2 |     161.083 |       0.072 |      | Q_2-3_v-80-100_r-13.6.qdimacs
   41813 |    10699 |     0.05 |    17.64 |   731.79 |      826 |      342 |     2.19 |        6 |     0.28 |    21.83 |          |                  |          |       0.000 |       0.000 |      | stmt19_75_95.qdimacs
   12608 |     3535 |     0.02 |     1.55 |    70.42 |      679 |      113 |     0.18 |        4 |     0.22 |     2.17 |          |                  |          |       0.000 |       0.000 |      | query60_query44_1344n.qdimacs
   28942 |     9829 |     0.03 |    14.36 |   590.90 |      896 |      318 |     1.59 |        3 |     0.23 |    17.59 |          |                  |          |       0.000 |       0.000 |      | ctrl.e#1.a#3.E#134.A#48.c#.w#9.s#40.asp.qdimacs
   14392 |     4213 |     0.02 |     2.27 |    98.89 |      828 |      137 |     0.25 |        4 |     0.23 |     3.15 |          |                  |          |       0.000 |       0.000 |      | query44_query26_1344n.qdimacs
   37672 |    11304 |     0.04 |    16.65 |   651.74 |      897 |      363 |     2.20 |        8 |     0.23 |    24.70 |          |                  |          |       0.000 |       0.000 |      | stmt2_976_999.qdimacs
    4526 |     2697 |     0.01 |     1.14 |    23.43 |      271 |       88 |     0.08 |        4 |     0.10 |     1.20 |        1 |                  |        2 |    3281.965 |       0.256 |      | sortnetsort7.AE.stepl.006.qdimacs
   13546 |     4715 |     0.02 |     2.90 |    95.09 |      518 |      153 |     0.23 |        6 |     0.16 |     3.76 |          |                  |          |       0.000 |       0.000 |      | ltl2dba_C2-8_comp4_REAL.sat.qdimacs
   19175 |     5651 |     0.02 |     4.09 |   167.62 |      437 |      183 |     0.34 |        4 |     0.15 |     5.16 |          |                  |          |       0.000 |       0.000 |      | stmt47_340_389.qdimacs
   21744 |     7563 |     0.02 |     7.63 |   311.38 |      641 |      237 |     0.83 |        8 |     0.16 |    10.20 |          |                  |          |       0.000 |       0.000 |      | itc-b13-fixpoint-6.qdimacs
    4411 |     1567 |     0.01 |     0.16 |     7.61 |      203 |       50 |     0.03 |        3 |     0.03 |     0.63 |          |                  |          |       0.000 |       0.000 |      | small-swap1-fixpoint-5.qdimacs
    3487 |     1255 |     0.00 |     0.10 |     4.78 |      169 |       40 |     0.02 |        3 |     0.02 |     0.40 |          |                  |          |       0.000 |       0.000 |      | small-swap1-fixpoint-4.qdimacs
   32978 |     8524 |     0.04 |    10.10 |   432.69 |      658 |      271 |     1.23 |        5 |     0.22 |    13.45 |          |                  |          |       0.000 |       0.000 |      | stmt19_64_87.qdimacs
    7154 |     2545 |     0.01 |     0.65 |    23.21 |      275 |       80 |     0.07 |        6 |     0.06 |     1.08 |          |                  |          |       0.000 |       0.000 |      | cache-coherence-3-fixpoint-1.qdimacs
   16520 |     5720 |     0.02 |     3.79 |   147.69 |      616 |      179 |     0.42 |        4 |     0.11 |     5.61 |          |                  |          |       0.000 |       0.000 |      | usb-phy-fixpoint-3.qdimacs
   11818 |     3967 |     0.01 |     2.28 |    95.27 |      331 |      128 |     0.15 |        8 |     0.28 |     2.67 |          |                  |          |       0.000 |       0.000 |      | mult_bool_matrix_dyn_9_5.sat.qdimacs
     485 |      151 |     0.00 |     0.01 |     0.08 |       17 |        6 |     0.00 |        9 |     0.01 |     0.00 |      261 |           523824 |      817 |     151.218 |       2.303 |    Y | factorization10.qdimacs
    1100 |      180 |     0.00 |     0.01 |     1.55 |      185 |        7 |     0.03 |        1 |     0.04 |     0.00 |          |                  |          |       0.000 |       0.000 |      | Q_2-3_v-80-100_r-11.1.qdimacs
   29811 |     9054 |     0.04 |    13.66 |   521.15 |      768 |      291 |     1.74 |        5 |     0.23 |    17.40 |          |                  |          |       0.000 |       0.000 |      | small-equiv-fixpoint-4.qdimacs
    4576 |     1564 |     0.01 |     0.32 |    10.33 |      132 |       51 |     0.03 |        4 |     0.04 |     0.58 |          |                  |          |       0.000 |       0.000 |      | mult9.sat.qdimacs
    2409 |      821 |     0.00 |     0.03 |     1.88 |      115 |       27 |     0.01 |        5 |     0.01 |     0.17 |        7 |        102036801 |       13 |      73.273 |     240.058 |      | min128.qdimacs
     978 |      295 |     0.00 |     0.01 |     0.31 |       30 |       10 |     0.01 |       10 |     0.01 |     0.02 |     1135 |         41593424 |     2611 |    7106.784 |      89.306 |      | factorization14.qdimacs
    6308 |     2283 |     0.01 |     0.38 |    20.48 |      201 |       75 |     0.06 |      159 |     0.10 |     1.40 |          |                  |          |       0.000 |       0.000 |      | decomposition256.qdimacs
    1566 |      572 |     0.00 |     0.02 |     0.98 |       50 |       19 |     0.01 |       33 |     0.02 |     0.05 |          |                  |          |       0.000 |       0.000 |      | decomposition64.qdimacs
   44379 |    14329 |     0.06 |    16.34 |  1124.60 |     1359 |      456 |     3.61 |      679 |     0.46 |    47.04 |          |                  |          |       0.000 |       0.000 |      | equalization1024.qdimacs
    4806 |     1634 |     0.00 |     0.09 |     7.52 |      238 |       54 |     0.04 |        7 |     0.03 |     0.55 |       78 |        163934170 |      286 |     254.634 |     368.233 |      | min256.qdimacs
   19142 |     6498 |     0.02 |     1.84 |   140.97 |      948 |      213 |     0.54 |        7 |     0.11 |     8.01 |       38 |        128379535 |       83 |     642.048 |     276.629 |      | min1024.qdimacs
    4806 |     1634 |     0.01 |     0.10 |     7.86 |      239 |       54 |     0.05 |        7 |     0.04 |     0.69 |          |                  |          |       0.000 |       0.000 |      | max256.qdimacs
    9573 |     3252 |     0.01 |     0.46 |    31.57 |      496 |      105 |     0.10 |        4 |     0.05 |     1.96 |          |                  |          |       0.000 |       0.000 |      | max512.qdimacs
    1402 |      458 |     0.00 |     0.01 |     0.70 |       43 |       16 |     0.01 |       25 |     0.01 |     0.05 |          |                  |          |       0.000 |       0.000 |      | equalization32.qdimacs
     986 |      342 |     0.00 |     0.01 |     0.33 |       31 |       12 |     0.01 |       21 |     0.03 |     0.03 |          |                  |          |       0.000 |       0.000 |      | ceiling32.qdimacs
    1222 |      418 |     0.00 |     0.01 |     0.50 |       60 |       15 |     0.02 |        7 |     0.01 |     0.05 |          |                  |          |       0.000 |       0.000 |      | max64.qdimacs
   15541 |     5285 |     0.02 |     2.42 |   119.11 |      515 |      168 |     0.29 |        4 |     0.07 |     5.22 |          |                  |          |       0.000 |       0.000 |      | ceiling512.qdimacs
     613 |      212 |     0.00 |     0.01 |     0.14 |       28 |        7 |     0.01 |        5 |     0.01 |     0.01 |          |                  |          |       0.000 |       0.000 |      | max32.qdimacs
    5754 |     1864 |     0.00 |     0.27 |    13.60 |      186 |       59 |     0.05 |      135 |     0.07 |     1.00 |          |                  |          |       0.000 |       0.000 |      | equalization128.qdimacs
   29684 |    10239 |     0.04 |     8.23 |   462.87 |     1125 |      328 |     1.52 |        4 |     0.14 |    21.19 |          |                  |          |       0.000 |       0.000 |      | intermediate1024.qdimacs
    1844 |      639 |     0.00 |     0.02 |     1.19 |       72 |       20 |     0.01 |        4 |     0.01 |     0.07 |          |                  |          |       0.000 |       0.000 |      | intermediate64.qdimacs
    4588 |     1636 |     0.01 |     0.14 |     8.17 |      196 |       44 |     0.03 |        4 |     0.03 |     0.74 |          |                  |          |       0.000 |       0.000 |      | bobtuint05neg_all_bit_differing_from_cycle.qdimacs
    4588 |     1636 |     0.01 |     0.11 |     8.22 |      196 |       44 |     0.02 |        4 |     0.03 |     0.71 |          |                  |          |       0.000 |       0.000 |      | bobtuint25neg_all_bit_differing_from_cycle.qdimacs
    1007 |      320 |     0.00 |     0.01 |     0.39 |       40 |       10 |     0.02 |        4 |     0.01 |     0.03 |          |                  |          |       0.000 |       0.000 |      | kenflashp02_all_bit_differing_from_cycle.qdimacs
     681 |      284 |     0.00 |     0.01 |     0.19 |       30 |        8 |     0.01 |        4 |     0.00 |     0.01 |          |                  |          |       0.000 |       0.000 |      | kenoopp1_all_bit_differing_from_cycle.qdimacs
    4588 |     1636 |     0.01 |     0.13 |     8.64 |      196 |       44 |     0.03 |        4 |     0.03 |     0.76 |          |                  |          |       0.000 |       0.000 |      | bobtuint24neg_all_bit_differing_from_cycle.qdimacs
   11074 |     3894 |     0.02 |     0.83 |    46.97 |      518 |      100 |     0.11 |        4 |     0.07 |     2.92 |          |                  |          |       0.000 |       0.000 |      | pdtpmssfeistel_all_bit_differing_from_cycle.qdimacs
   33786 |    11119 |     0.05 |     9.63 |   486.89 |     1376 |      296 |     1.13 |        4 |     0.17 |    26.90 |          |                  |          |       0.000 |       0.000 |      | bobsmcodic_all_bit_differing_from_cycle.qdimacs
    2835 |     1127 |     0.00 |     0.04 |     2.71 |      122 |       28 |     0.01 |        4 |     0.01 |     0.20 |          |                  |          |       0.000 |       0.000 |      | bobsm5378d2_all_bit_differing_from_cycle.qdimacs
    1851 |      684 |     0.00 |     0.02 |     1.24 |       83 |       18 |     0.01 |        4 |     0.01 |     0.05 |          |                  |          |       0.000 |       0.000 |      | pdtpmsgigamax_all_bit_differing_from_cycle.qdimacs
    4588 |     1636 |     0.00 |     0.11 |     8.07 |      196 |       44 |     0.02 |        4 |     0.03 |     0.70 |          |                  |          |       0.000 |       0.000 |      | bobtuint29neg_all_bit_differing_from_cycle.qdimacs
   22940 |    10904 |     0.02 |     3.51 |   232.69 |     1046 |      241 |     0.71 |        4 |     0.16 |    23.48 |          |                  |          |       0.000 |       0.000 |      | bobsynth06neg_all_bit_differing_from_cycle.qdimacs
     925 |      368 |     0.00 |     0.01 |     0.30 |       39 |       11 |     0.02 |        4 |     0.00 |     0.03 |          |                  |          |       0.000 |       0.000 |      | kenflashp01_all_bit_differing_from_cycle.qdimacs
    4588 |     1636 |     0.00 |     0.12 |     8.57 |      196 |       44 |     0.03 |        4 |     0.03 |     0.77 |          |                  |          |       0.000 |       0.000 |      | bobtuint04neg_all_bit_differing_from_cycle.qdimacs
    4588 |     1636 |     0.00 |     0.12 |     8.50 |      196 |       44 |     0.03 |        4 |     0.03 |     0.73 |          |                  |          |       0.000 |       0.000 |      | bobtuint18neg_all_bit_differing_from_cycle.qdimacs
    4588 |     1636 |     0.00 |     0.12 |     8.70 |      196 |       44 |     0.03 |        4 |     0.03 |     0.74 |          |                  |          |       0.000 |       0.000 |      | bobtuint16neg_all_bit_differing_from_cycle.qdimacs
   48809 |    20603 |     0.06 |    18.39 |  1056.50 |     2167 |      493 |     3.51 |        4 |     0.31 |    93.39 |          |                  |          |       0.000 |       0.000 |      | neclaftp2001_all_bit_differing_from_cycle.qdimacs
   12922 |     4971 |     0.02 |     1.32 |    58.04 |      624 |      124 |     0.15 |        4 |     0.09 |     4.63 |          |                  |          |       0.000 |       0.000 |      | neclaftp4002_all_bit_differing_from_cycle.qdimacs
    1020 |      409 |     0.00 |     0.01 |     0.34 |       39 |       12 |     0.02 |        4 |     0.00 |     0.04 |          |                  |          |       0.000 |       0.000 |      | kenflashp04_all_bit_differing_from_cycle.qdimacs
    4623 |     1706 |     0.01 |     0.12 |     7.40 |      202 |       42 |     0.03 |        4 |     0.03 |     0.65 |          |                  |          |       0.000 |       0.000 |      | bobsm9234_all_bit_differing_from_cycle.qdimacs
   22940 |    10904 |     0.03 |     3.60 |   218.18 |     1046 |      241 |     0.52 |        4 |     0.14 |    21.50 |          |                  |          |       0.000 |       0.000 |      | bobsynth00neg_all_bit_differing_from_cycle.qdimacs
    5884 |     2225 |     0.01 |     0.24 |    12.80 |      269 |       56 |     0.19 |        4 |     0.03 |     1.02 |          |                  |          |       0.000 |       0.000 |      | pdtpmsns3_all_bit_differing_from_cycle.qdimacs
   18581 |     5548 |     0.02 |     3.69 |   143.69 |      623 |      175 |     0.27 |        5 |     0.31 |     5.16 |          |                  |          |       0.000 |       0.000 |      | bobsynthetic2_all_bit_differing_from_cycle.qdimacs
    4589 |     1636 |     0.01 |     0.12 |     7.79 |      198 |       46 |     0.03 |        4 |     0.03 |     0.63 |          |                  |          |       0.000 |       0.000 |      | bobtuint07neg_all_bit_differing_from_cycle.qdimacs
   52627 |    18432 |     0.06 |    42.61 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | small-pipeline-fixpoint-10.qdimacs
 1972981 |   612735 |     2.46 |     0.00 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | AR-fixpoint-8.qdimacs
   14407 |     5160 |     0.02 |     2.49 |   104.26 |      632 |      160 |     0.27 |        4 |     0.08 |     4.45 |          |                  |          |       0.000 |       0.000 |      | small-pipeline-fixpoint-3.qdimacs
   15005 |     5500 |     0.02 |     3.40 |   147.81 |      545 |      175 |     0.31 |        4 |     0.17 |     4.98 |          |                  |          |       0.000 |       0.000 |      | driver_a10y.sat.qdimacs
   27646 |     9391 |     0.03 |    14.46 |   607.72 |      836 |      303 |     1.98 |        4 |     0.23 |    17.42 |          |                  |          |       0.000 |       0.000 |      | ctrl.e#1.a#3.E#128.A#48.c#.w#9.s#60.asp.qdimacs
   27677 |     7219 |     0.03 |     6.87 |   304.26 |      539 |      229 |     0.85 |        4 |     0.19 |     9.48 |          |                  |          |       0.000 |       0.000 |      | stmt23_66_76.qdimacs
  256614 |    86514 |     0.29 |  1478.01 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | mult_bool_matrix_18_18_18.sat.qdimacs
   14813 |     8852 |     0.02 |    10.94 |   319.52 |      883 |      286 |     1.25 |        4 |     1.51 |    14.84 |          |                  |          |       0.000 |       0.000 |      | sortnetsort9.AE.stepl.011.qdimacs
    2391 |     1001 |     0.00 |     0.08 |     3.77 |      142 |       31 |     0.02 |        4 |     0.03 |     0.17 |          |                  |          |       0.000 |       0.000 |      | query51_query57_1344n.qdimacs
   50386 |     8369 |     0.06 |    10.22 |   705.95 |     2594 |      269 |     1.75 |        4 |     0.84 |    14.66 |          |                  |          |       0.000 |       0.000 |      | nreachq_query54_1344n.qdimacs
    7183 |     2503 |     0.01 |     0.60 |    22.86 |      332 |       78 |     0.07 |        3 |     0.05 |     1.21 |          |                  |          |       0.000 |       0.000 |      | small-swap1-fixpoint-8.qdimacs
   51118 |     8923 |     0.06 |    13.12 |   818.90 |     2612 |      291 |     1.99 |        4 |     0.91 |    17.19 |          |                  |          |       0.000 |       0.000 |      | nreachq_query42_1344n.qdimacs
  243053 |    89111 |     0.27 |  1369.75 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | oski3ub5i_c0to511.sat.qdimacs
   40046 |    10264 |     0.05 |    14.64 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | stmt19_79_87.qdimacs
    6920 |     2021 |     0.01 |     0.47 |    22.70 |      380 |       66 |     0.07 |        4 |     0.07 |     0.78 |        1 |                  |        2 |       9.279 |       0.092 |      | ntrivil_query42_1344n.qdimacs
    5278 |     3144 |     0.01 |     1.30 |    31.25 |      330 |      101 |     0.10 |        4 |     0.14 |     1.63 |        1 |                  |        2 |    3286.793 |       0.460 |      | sortnetsort7.AE.stepl.007.qdimacs
   29444 |     7654 |     0.04 |     8.12 |   351.76 |      575 |      245 |     1.03 |        4 |     0.19 |    12.02 |          |                  |          |       0.000 |       0.000 |      | stmt17_63_78.qdimacs
   22589 |     7766 |     0.03 |     7.75 |   306.48 |      843 |      244 |     0.89 |        5 |     0.16 |    10.28 |          |                  |          |       0.000 |       0.000 |      | usb-phy-fixpoint-4.qdimacs
   19573 |     2914 |     0.02 |     1.15 |   216.17 |      432 |       95 |     0.11 |        4 |     0.24 |     1.52 |          |                  |          |       0.000 |       0.000 |      | amba4c7n.sat.qdimacs
   10451 |     3674 |     0.01 |     1.44 |    53.43 |      392 |      116 |     0.14 |        4 |     0.07 |     2.21 |          |                  |          |       0.000 |       0.000 |      | usb-phy-fixpoint-2.qdimacs
   11438 |     3461 |     0.01 |     1.58 |    67.37 |      628 |      112 |     0.17 |        4 |     0.19 |     2.10 |          |                  |          |       0.000 |       0.000 |      | query57_query42_1344n.qdimacs
    7753 |     2639 |     0.01 |     0.51 |    23.36 |      265 |       84 |     0.07 |        3 |     0.03 |     1.61 |          |                  |          |       0.000 |       0.000 |      | ceiling256.qdimacs
    1020 |      409 |     0.00 |     0.01 |     0.37 |       39 |       12 |     0.02 |        4 |     0.01 |     0.04 |          |                  |          |       0.000 |       0.000 |      | kenflashp04.qdimacs
  100301 |    31193 |     0.14 |   176.26 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | small-seq-fixpoint-10.qdimacs
    8712 |     2698 |     0.01 |     0.87 |    33.55 |      179 |       89 |     0.08 |        5 |     0.07 |     1.18 |          |                  |          |       0.000 |       0.000 |      | stmt21_181_218.qdimacs
    7905 |     2948 |     0.01 |     1.15 |    39.23 |      327 |       94 |     0.10 |        4 |     0.06 |     1.85 |          |                  |          |       0.000 |       0.000 |      | rankfunc34_unsigned_64.qdimacs
   41770 |    14028 |     0.05 |    30.63 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | sdlx-fixpoint-8.qdimacs
   24143 |     6349 |     0.03 |     5.29 |   233.93 |      500 |      204 |     0.72 |        6 |     0.15 |     7.35 |          |                  |          |       0.000 |       0.000 |      | stmt23_66_67.qdimacs
   45347 |    11569 |     0.06 |    22.75 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | stmt17_82_94.qdimacs
     221 |       88 |     0.00 |     0.00 |     0.02 |        7 |        4 |     0.00 |        4 |     0.00 |     0.00 |        1 |                  |        2 |      14.916 |       0.000 |      | small-dyn-partition-fixpoint-1.qdimacs
    4630 |     1810 |     0.00 |     0.34 |    10.32 |      201 |       58 |     0.04 |        4 |     0.03 |     0.67 |          |                  |          |       0.000 |       0.000 |      | rankfunc56_signed_64.qdimacs
    7412 |     2559 |     0.01 |     0.48 |    22.32 |      287 |       82 |     0.07 |        4 |     0.04 |     1.50 |          |                  |          |       0.000 |       0.000 |      | intermediate256.qdimacs
   21502 |     7343 |     0.03 |     8.07 |   335.06 |      685 |      233 |     0.95 |        5 |     0.18 |    10.22 |          |                  |          |       0.000 |       0.000 |      | ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#1.asp.qdimacs
   12162 |     4306 |     0.01 |     2.37 |    83.17 |      511 |      141 |     0.22 |        4 |     0.09 |     3.39 |          |                  |          |       0.000 |       0.000 |      | rankfunc61_signed_64.qdimacs
   13934 |     5280 |     0.02 |     3.73 |   125.87 |      555 |      173 |     0.36 |        4 |     0.10 |     5.05 |          |                  |          |       0.000 |       0.000 |      | rankfunc54_signed_64.qdimacs
   41707 |    14640 |     0.05 |    27.57 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | small-pipeline-fixpoint-8.qdimacs
    1709 |      747 |     0.00 |     0.04 |     2.27 |       97 |       24 |     0.02 |        4 |     0.03 |     0.18 |          |                  |          |       0.000 |       0.000 |    Y | query52_query25_1344n.qdimacs
   15358 |     5295 |     0.02 |     4.11 |   161.07 |      499 |      169 |     0.36 |        3 |     0.14 |     5.10 |          |                  |          |       0.000 |       0.000 |      | ctrl.e#1.a#3.E#128.A#48.c#.w#5.s#1.asp.qdimacs
     162 |       70 |     0.00 |     0.00 |     0.01 |        8 |        3 |     0.00 |        4 |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |    Y | small-bug1-fixpoint-4.qdimacs
   17706 |     5263 |     0.02 |     3.74 |   151.57 |      395 |      169 |     0.43 |        4 |     0.15 |     5.00 |          |                  |          |       0.000 |       0.000 |      | stmt22_311_370.qdimacs
     825 |      295 |     0.00 |     0.01 |     0.35 |       56 |       11 |     0.00 |        4 |     0.01 |     0.02 |          |                  |          |       0.000 |       0.000 |    Y | nxquery_query50_1344n.qdimacs
   15891 |     5489 |     0.02 |     3.75 |   147.05 |      571 |      174 |     0.43 |        6 |     0.12 |     5.33 |          |                  |          |       0.000 |       0.000 |      | cache-coherence-3-fixpoint-2.qdimacs
   23169 |     7039 |     0.03 |     7.64 |   295.57 |      599 |      226 |     0.92 |        4 |     0.16 |     8.94 |          |                  |          |       0.000 |       0.000 |      | small-equiv-fixpoint-3.qdimacs
   33884 |    12515 |     0.04 |    23.03 |   883.24 |     1315 |      397 |     3.52 |        7 |     0.28 |    33.82 |          |                  |          |       0.000 |       0.000 |      | ethernet-fixpoint-3.qdimacs
   10968 |     3225 |     0.01 |     1.36 |    62.90 |      631 |      104 |     0.16 |        4 |     0.19 |     1.92 |          |                  |          |       0.000 |       0.000 |      | query03_query42_1344n.qdimacs
    2463 |     1123 |     0.00 |     0.10 |     4.55 |      153 |       35 |     0.08 |        4 |     0.02 |     0.17 |          |                  |          |       0.000 |       0.000 |      | query54_query58_1344n.qdimacs
   43580 |    11134 |     0.05 |    21.13 |   785.92 |      967 |      354 |     2.13 |        6 |     0.29 |    25.07 |          |                  |          |       0.000 |       0.000 |      | stmt17_78_94.qdimacs
   52415 |    13309 |     0.06 |    26.07 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | stmt17_94_98.qdimacs
