Test Case                                                                                   | Return Code | Input Clauses | Input Variables | Output Clauses | Timed Out
Disjunctive_Decomposition_neclaftp4002_all_bit_differing_from_cycle_kissat_output.qdimacs   | 0           | 11438         | 4971            | 0              | Yes      
Disjunctive_Decomposition_pdtpmsgigamax_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 1555          | 684             | 0              | Yes      
Disjunctive_Decomposition_pdtpmsmiim_all_bit_differing_from_cycle_kissat_output.qdimacs     | 0           | 1947          | 965             | 0              | Yes      
Disjunctive_Decomposition_pdtpmsns3_all_bit_differing_from_cycle_kissat_output.qdimacs      | 0           | 5142          | 2225            | 0              | Yes      
Disjunctive_Decomposition_pdtpmssfeistel_all_bit_differing_from_cycle_kissat_output.qdimacs | 0           | 9741          | 3894            | 0              | Yes      
Factorization_factorization10_kissat_output.qdimacs                                         | 0           | 308           | 151             | 0              | No       
Factorization_factorization12_kissat_output.qdimacs                                         | 0           | 490           | 219             | 0              | No       
Factorization_factorization14_kissat_output.qdimacs                                         | 0           | 694           | 295             | 0              | No       
Factorization_factorization16_kissat_output.qdimacs                                         | 0           | 887           | 390             | 0              | Yes      
Factorization_factorization8_kissat_output.qdimacs                                          | 0           | 164           | 95              | 0              | No       
QBFEval2017_6s289rb05233_c0to63.sat_kissat_output.qdimacs                                   | 0           | 363240        | 218792          | 0              | Yes      
QBFEval2017_AR-fixpoint-10_kissat_output.qdimacs                                            | 0           | 2199204       | 772793          | 0              | Yes      
QBFEval2017_AR-fixpoint-2_kissat_output.qdimacs                                             | 0           | 306612        | 132561          | 0              | Yes      
QBFEval2017_AR-fixpoint-4_kissat_output.qdimacs                                             | 0           | 721608        | 292619          | 0              | Yes      
QBFEval2017_AR-fixpoint-6_kissat_output.qdimacs                                             | -6          | 0             | 0               | 0              | No       
QBFEval2017_AR-fixpoint-8_kissat_output.qdimacs                                             | 0           | 1684180       | 612735          | 0              | Yes      
QBFEval2017_ActivityService_kissat_output.qdimacs                                           | 0           | 7375          | 4172            | 0              | Yes      
QBFEval2017_ConcreteActivityService_kissat_output.qdimacs                                   | 0           | 8777          | 4841            | 0              | Yes      
QBFEval2017_GuidanceService2_kissat_output.qdimacs                                          | 0           | 5380          | 3263            | 0              | Yes      
QBFEval2017_GuidanceService_kissat_output.qdimacs                                           | 0           | 5380          | 3263            | 0              | Yes      
QBFEval2017_IssueServiceImpl_kissat_output.qdimacs                                          | 0           | 6038          | 3630            | 0              | Yes      
QBFEval2017_IterationService_kissat_output.qdimacs                                          | 0           | 7375          | 4172            | 0              | Yes      
QBFEval2017_LoginService_kissat_output.qdimacs                                              | 0           | 13272         | 5289            | 0              | Yes      
QBFEval2017_NotificationServiceImpl2_kissat_output.qdimacs                                  | 0           | 11641         | 5402            | 0              | Yes      
QBFEval2017_PhaseService_kissat_output.qdimacs                                              | 0           | 7375          | 4172            | 0              | Yes      
QBFEval2017_amba2c7n.sat_kissat_output.qdimacs                                              | 0           | 4531          | 1381            | 0              | Yes      
QBFEval2017_amba3b5y.sat_kissat_output.qdimacs                                              | 0           | 9776          | 1627            | 0              | Yes      
QBFEval2017_amba4c7n.sat_kissat_output.qdimacs                                              | 0           | 16802         | 2914            | 0              | Yes      
QBFEval2017_amba5b5n.sat_kissat_output.qdimacs                                              | 0           | 17740         | 3120            | 0              | Yes      
QBFEval2017_axquery_query42_1344n_kissat_output.qdimacs                                     | 0           | 1304          | 618             | 0              | Yes      
QBFEval2017_beemskbn1f1_c0to7.sat_kissat_output.qdimacs                                     | 0           | 64652         | 34863           | 0              | Yes      
QBFEval2017_bs128n.sat_kissat_output.qdimacs                                                | 0           | 9719          | 6938            | 0              | Yes      
QBFEval2017_bs128y.sat_kissat_output.qdimacs                                                | 0           | 9736          | 6934            | 0              | Yes      
QBFEval2017_cache-coherence-2-fixpoint-2_kissat_output.qdimacs                              | 0           | 4856          | 3686            | 0              | Yes      
QBFEval2017_cache-coherence-2-fixpoint-5_kissat_output.qdimacs                              | 0           | 16643         | 9605            | 0              | Yes      
QBFEval2017_cache-coherence-3-fixpoint-1_kissat_output.qdimacs                              | 0           | 3515          | 2545            | 0              | Yes      
QBFEval2017_cache-coherence-3-fixpoint-2_kissat_output.qdimacs                              | 0           | 9533          | 5489            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#110.A#48.c#.w#9.s#13.asp_kissat_output.qdimacs                   | 0           | 10680         | 8077            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#112.A#48.c#.w#5.s#27.asp_kissat_output.qdimacs                   | 0           | 6197          | 4639            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#116.A#48.c#.w#7.s#56.asp_kissat_output.qdimacs                   | 0           | 8427          | 6659            | 0              | Yes      
QBFEval2017_ctrl.e#1.a#3.E#118.A#48.c#.w#5.s#7.asp_kissat_output.qdimacs                    | 0           | 5861          | 4885            | 0              | Yes      
