Test Case                                                                                   | Return Code | Input Clauses | Input Variables | Output Clauses | Timed Out
QBFEval2017_query71_query42_1344n_kissat_output.qdimacs                                     | 0           | 9350          | 3381            | 0              | Yes      
QBFEval2017_rankfunc2_unsigned_64_kissat_output.qdimacs                                     | 0           | 2919          | 2572            | 0              | Yes      
QBFEval2017_rankfunc35_signed_64_kissat_output.qdimacs                                      | 0           | 7479          | 5280            | 0              | Yes      
QBFEval2017_rankfunc48_signed_64_kissat_output.qdimacs                                      | 0           | 7533          | 5854            | 0              | Yes      
QBFEval2017_rankfunc49_signed_64_kissat_output.qdimacs                                      | 0           | 3669          | 3156            | 0              | Yes      
QBFEval2017_rankfunc49_unsigned_64_kissat_output.qdimacs                                    | 0           | 3739          | 3153            | 0              | Yes      
QBFEval2017_rankfunc52_unsigned_64_kissat_output.qdimacs                                    | 0           | 5513          | 3919            | 0              | Yes      
QBFEval2017_rankfunc55_signed_64_kissat_output.qdimacs                                      | 0           | 2724          | 2317            | 0              | Yes      
QBFEval2017_rankfunc55_unsigned_32_kissat_output.qdimacs                                    | 0           | 1380          | 1163            | 0              | Yes      
QBFEval2017_rankfunc55_unsigned_64_kissat_output.qdimacs                                    | 0           | 2788          | 2315            | 0              | Yes      
QBFEval2017_rankfunc56_signed_64_kissat_output.qdimacs                                      | 0           | 1977          | 1810            | 0              | Yes      
QBFEval2017_rankfunc56_unsigned_64_kissat_output.qdimacs                                    | 0           | 1909          | 1808            | 0              | Yes      
QBFEval2017_rankfunc57_unsigned_64_kissat_output.qdimacs                                    | 0           | 4559          | 3532            | 0              | Yes      
QBFEval2017_rankfunc58_signed_64_kissat_output.qdimacs                                      | 0           | 5127          | 4120            | 0              | Yes      
QBFEval2017_rankfunc58_unsigned_64_kissat_output.qdimacs                                    | 0           | 5199          | 4118            | 0              | Yes      
QBFEval2017_rankfunc59_signed_64_kissat_output.qdimacs                                      | 0           | 6461          | 5147            | 0              | Yes      
QBFEval2017_rankfunc59_unsigned_64_kissat_output.qdimacs                                    | 0           | 6458          | 5145            | 0              | Yes      
QBFEval2017_rankfunc60_unsigned_32_kissat_output.qdimacs                                    | 0           | 1015          | 1298            | 0              | Yes      
QBFEval2017_rankfunc61_signed_64_kissat_output.qdimacs                                      | 0           | 6773          | 4306            | 0              | Yes      
QBFEval2017_reachqu_query42_1344n_kissat_output.qdimacs                                     | 0           | 37028         | 8987            | 0              | Yes      
QBFEval2017_sdlx-fixpoint-10_kissat_output.qdimacs                                          | 0           | 21984         | 17738           | 0              | Yes      
QBFEval2017_sdlx-fixpoint-1_kissat_output.qdimacs                                           | 0           | 1069          | 1042            | 0              | Yes      
QBFEval2017_sdlx-fixpoint-2_kissat_output.qdimacs                                           | 0           | 2125          | 2898            | 0              | Yes      
QBFEval2017_sdlx-fixpoint-4_kissat_output.qdimacs                                           | 0           | 5885          | 6608            | 0              | Yes      
QBFEval2017_sdlx-fixpoint-5_kissat_output.qdimacs                                           | 0           | 10331         | 8463            | 0              | Yes      
QBFEval2017_sdlx-fixpoint-6_kissat_output.qdimacs                                           | 0           | 12622         | 10318           | 0              | Yes      
QBFEval2017_sdlx-fixpoint-7_kissat_output.qdimacs                                           | 0           | 15002         | 12173           | 0              | Yes      
QBFEval2017_sdlx-fixpoint-8_kissat_output.qdimacs                                           | 0           | 17305         | 14028           | 0              | Yes      
QBFEval2017_sdlx-fixpoint-9_kissat_output.qdimacs                                           | 0           | 19646         | 15883           | 0              | Yes      
QBFEval2017_small-dyn-partition-fixpoint-10_kissat_output.qdimacs                           | 0           | 757           | 1125            | 0              | Yes      
QBFEval2017_small-dyn-partition-fixpoint-4_kissat_output.qdimacs                            | 0           | 166           | 435             | 0              | No       
QBFEval2017_small-dyn-partition-fixpoint-5_kissat_output.qdimacs                            | 0           | 269           | 550             | 0              | No       
QBFEval2017_small-dyn-partition-fixpoint-6_kissat_output.qdimacs                            | 0           | 362           | 665             | 0              | Yes      
QBFEval2017_small-dyn-partition-fixpoint-7_kissat_output.qdimacs                            | 0           | 464           | 780             | 0              | Yes      
QBFEval2017_small-dyn-partition-fixpoint-9_kissat_output.qdimacs                            | 0           | 663           | 1010            | 0              | Yes      
QBFEval2017_small-equiv-fixpoint-1_kissat_output.qdimacs                                    | 0           | 5478          | 3007            | 0              | Yes      
QBFEval2017_small-equiv-fixpoint-2_kissat_output.qdimacs                                    | 0           | 9239          | 5024            | 0              | Yes      
QBFEval2017_small-equiv-fixpoint-3_kissat_output.qdimacs                                    | 0           | 12992         | 7039            | 0              | Yes      
QBFEval2017_small-equiv-fixpoint-4_kissat_output.qdimacs                                    | 0           | 16749         | 9054            | 0              | Yes      
QBFEval2017_small-equiv-fixpoint-5_kissat_output.qdimacs                                    | 0           | 20506         | 11069           | 0              | Yes      
QBFEval2017_small-equiv-fixpoint-7_kissat_output.qdimacs                                    | 0           | 28022         | 15099           | 0              | Yes      
QBFEval2017_small-equiv-fixpoint-8_kissat_output.qdimacs                                    | 0           | 31781         | 17114           | 0              | Yes      
QBFEval2017_small-pipeline-fixpoint-10_kissat_output.qdimacs                                | 0           | 28578         | 18432           | 0              | Yes      
QBFEval2017_small-pipeline-fixpoint-1_kissat_output.qdimacs                                 | 0           | 2007          | 1366            | 0              | Yes      
QBFEval2017_small-pipeline-fixpoint-2_kissat_output.qdimacs                                 | 0           | 3763          | 3264            | 0              | Yes      
QBFEval2017_small-pipeline-fixpoint-3_kissat_output.qdimacs                                 | 0           | 7081          | 5160            | 0              | Yes      
QBFEval2017_small-pipeline-fixpoint-4_kissat_output.qdimacs                                 | 0           | 10144         | 7056            | 0              | Yes      
QBFEval2017_small-pipeline-fixpoint-5_kissat_output.qdimacs                                 | 0           | 13198         | 8952            | 0              | Yes      
QBFEval2017_small-pipeline-fixpoint-8_kissat_output.qdimacs                                 | 0           | 22367         | 14640           | 0              | Yes      
QBFEval2017_small-pipeline-fixpoint-9_kissat_output.qdimacs                                 | 0           | 25523         | 16536           | 0              | Yes      
QBFEval2017_small-seq-fixpoint-10_kissat_output.qdimacs                                     | 0           | 64289         | 31193           | 0              | Yes      
QBFEval2017_small-seq-fixpoint-1_kissat_output.qdimacs                                      | 0           | 4251          | 2130            | 0              | Yes      
QBFEval2017_small-seq-fixpoint-2_kissat_output.qdimacs                                      | 0           | 10921         | 5361            | 0              | Yes      
QBFEval2017_small-seq-fixpoint-4_kissat_output.qdimacs                                      | 0           | 24263         | 11819           | 0              | Yes      
QBFEval2017_small-seq-fixpoint-6_kissat_output.qdimacs                                      | 0           | 37605         | 18277           | 0              | Yes      
QBFEval2017_small-swap1-fixpoint-10_kissat_output.qdimacs                                   | 0           | 4388          | 3127            | 0              | Yes      
QBFEval2017_small-swap1-fixpoint-4_kissat_output.qdimacs                                    | 0           | 1346          | 1255            | 0              | Yes      
QBFEval2017_small-swap1-fixpoint-5_kissat_output.qdimacs                                    | 0           | 1717          | 1567            | 0              | Yes      
QBFEval2017_small-swap1-fixpoint-6_kissat_output.qdimacs                                    | 0           | 2105          | 1879            | 0              | Yes      
QBFEval2017_small-swap1-fixpoint-7_kissat_output.qdimacs                                    | 0           | 2461          | 2191            | 0              | Yes      
QBFEval2017_small-swap1-fixpoint-8_kissat_output.qdimacs                                    | 0           | 2830          | 2503            | 0              | Yes      
QBFEval2017_small-swap1-fixpoint-9_kissat_output.qdimacs                                    | 0           | 3203          | 2815            | 0              | Yes      
QBFEval2017_small-swap2-fixpoint-10_kissat_output.qdimacs                                   | 0           | 3054          | 3129            | 0              | Yes      
QBFEval2017_small-swap2-fixpoint-5_kissat_output.qdimacs                                    | 0           | 2293          | 1569            | 0              | Yes      
QBFEval2017_small-swap2-fixpoint-6_kissat_output.qdimacs                                    | 0           | 1852          | 1881            | 0              | Yes      
QBFEval2017_small-swap2-fixpoint-7_kissat_output.qdimacs                                    | 0           | 2149          | 2193            | 0              | Yes      
QBFEval2017_small-swap2-fixpoint-8_kissat_output.qdimacs                                    | 0           | 2453          | 2505            | 0              | Yes      
QBFEval2017_small-swap2-fixpoint-9_kissat_output.qdimacs                                    | 0           | 2757          | 2817            | 0              | Yes      
QBFEval2017_small-synabs-fixpoint-10_kissat_output.qdimacs                                  | 0           | 2885          | 2139            | 0              | Yes      
QBFEval2017_sortnetsort10.AE.stepl.004_kissat_output.qdimacs                                | 0           | 5579          | 4101            | 0              | Yes      
QBFEval2017_sortnetsort10.AE.stepl.005_kissat_output.qdimacs                                | 0           | 6971          | 5121            | 0              | Yes      
QBFEval2017_sortnetsort10.AE.stepl.006_kissat_output.qdimacs                                | 0           | 8363          | 6141            | 0              | Yes      
QBFEval2017_sortnetsort10.AE.stepl.007_kissat_output.qdimacs                                | 0           | 9755          | 7161            | 0              | Yes      
QBFEval2017_sortnetsort10.AE.stepl.008_kissat_output.qdimacs                                | 0           | 11147         | 8181            | 0              | Yes      
QBFEval2017_sortnetsort10.AE.stepl.009_kissat_output.qdimacs                                | 0           | 12539         | 9201            | 0              | Yes      
QBFEval2017_sortnetsort10.AE.stepl.010_kissat_output.qdimacs                                | 0           | 13931         | 10221           | 0              | Yes      
QBFEval2017_sortnetsort10.AE.stepl.011_kissat_output.qdimacs                                | 0           | 15323         | 11241           | 0              | Yes      
QBFEval2017_sortnetsort10.AE.stepl.012_kissat_output.qdimacs                                | 0           | 16715         | 12261           | 0              | Yes      
QBFEval2017_sortnetsort7.AE.stepl.005_kissat_output.qdimacs                                 | 0           | 2948          | 2250            | 0              | Yes      
QBFEval2017_sortnetsort7.AE.stepl.006_kissat_output.qdimacs                                 | 0           | 3536          | 2697            | 0              | Yes      
QBFEval2017_sortnetsort7.AE.stepl.007_kissat_output.qdimacs                                 | 0           | 4124          | 3144            | 0              | Yes      
QBFEval2017_sortnetsort7.AE.stepl.008_kissat_output.qdimacs                                 | 0           | 4712          | 3591            | 0              | Yes      
QBFEval2017_sortnetsort7.AE.stepl.009_kissat_output.qdimacs                                 | 0           | 5300          | 4038            | 0              | Yes      
QBFEval2017_sortnetsort8.AE.stepl.004_kissat_output.qdimacs                                 | 0           | 3281          | 2465            | 0              | Yes      
QBFEval2017_sortnetsort8.AE.stepl.005_kissat_output.qdimacs                                 | 0           | 4099          | 3077            | 0              | Yes      
QBFEval2017_sortnetsort8.AE.stepl.006_kissat_output.qdimacs                                 | 0           | 4917          | 3689            | 0              | Yes      
QBFEval2017_sortnetsort8.AE.stepl.008_kissat_output.qdimacs                                 | 0           | 6553          | 4913            | 0              | Yes      
QBFEval2017_sortnetsort8.AE.stepl.009_kissat_output.qdimacs                                 | 0           | 7371          | 5525            | 0              | Yes      
QBFEval2017_sortnetsort9.AE.stepl.004_kissat_output.qdimacs                                 | 0           | 4354          | 3231            | 0              | Yes      
QBFEval2017_sortnetsort9.AE.stepl.005_kissat_output.qdimacs                                 | 0           | 5440          | 4034            | 0              | Yes      
QBFEval2017_sortnetsort9.AE.stepl.006_kissat_output.qdimacs                                 | 0           | 6526          | 4837            | 0              | Yes      
QBFEval2017_sortnetsort9.AE.stepl.007_kissat_output.qdimacs                                 | 0           | 7612          | 5640            | 0              | Yes      
QBFEval2017_sortnetsort9.AE.stepl.008_kissat_output.qdimacs                                 | 0           | 8698          | 6443            | 0              | Yes      
QBFEval2017_sortnetsort9.AE.stepl.010_kissat_output.qdimacs                                 | 0           | 10870         | 8049            | 0              | Yes      
QBFEval2017_sortnetsort9.AE.stepl.011_kissat_output.qdimacs                                 | 0           | 11956         | 8852            | 0              | Yes      
QBFEval2017_stmt17_62_78_kissat_output.qdimacs                                              | 0           | 7459          | 8089            | 0              | Yes      
QBFEval2017_stmt17_63_70_kissat_output.qdimacs                                              | 0           | 7403          | 6784            | 0              | Yes      
QBFEval2017_stmt17_63_78_kissat_output.qdimacs                                              | 0           | 2711          | 7654            | 0              | Yes      
QBFEval2017_stmt17_70_78_kissat_output.qdimacs                                              | 0           | 8390          | 8524            | 0              | Yes      
QBFEval2017_stmt17_70_82_kissat_output.qdimacs                                              | 0           | 9210          | 8959            | 0              | Yes      
QBFEval2017_stmt17_70_86_kissat_output.qdimacs                                              | 0           | 11949         | 9394            | 0              | Yes      
QBFEval2017_stmt17_74_78_kissat_output.qdimacs                                              | 0           | 9316          | 8959            | 0              | Yes      
QBFEval2017_stmt17_74_90_kissat_output.qdimacs                                              | 0           | 11378         | 10264           | 0              | Yes      
QBFEval2017_stmt17_78_90_kissat_output.qdimacs                                              | 0           | 13707         | 10699           | 0              | Yes      
QBFEval2017_stmt17_78_94_kissat_output.qdimacs                                              | 0           | 12272         | 11134           | 0              | Yes      
QBFEval2017_stmt17_78_98_kissat_output.qdimacs                                              | 0           | 13513         | 11569           | 0              | Yes      
QBFEval2017_stmt17_82_86_kissat_output.qdimacs                                              | 0           | 11891         | 10699           | 0              | Yes      
QBFEval2017_stmt17_82_94_kissat_output.qdimacs                                              | 0           | 15226         | 11569           | 0              | Yes      
QBFEval2017_stmt17_94_98_kissat_output.qdimacs                                              | 0           | 18732         | 13309           | 0              | Yes      
QBFEval2017_stmt19_133_217_kissat_output.qdimacs                                            | 0           | 3281          | 2420            | 0              | Yes      
QBFEval2017_stmt19_137_408_kissat_output.qdimacs                                            | 0           | 7313          | 4044            | 0              | Yes      
QBFEval2017_stmt19_180_352_kissat_output.qdimacs                                            | 0           | 6072          | 4073            | 0              | Yes      
QBFEval2017_stmt19_302_352_kissat_output.qdimacs                                            | 0           | 7387          | 5227            | 0              | Yes      
QBFEval2017_stmt19_352_359_kissat_output.qdimacs                                            | 0           | 6224          | 5626            | 0              | Yes      
QBFEval2017_stmt19_368_417_kissat_output.qdimacs                                            | 0           | 8044          | 5947            | 0              | Yes      
QBFEval2017_stmt19_3_401_kissat_output.qdimacs                                              | 0           | 7053          | 3506            | 0              | Yes      
QBFEval2017_stmt19_64_87_kissat_output.qdimacs                                              | 0           | 6630          | 8524            | 0              | Yes      
QBFEval2017_stmt19_64_91_kissat_output.qdimacs                                              | 0           | 6731          | 8959            | 0              | Yes      
QBFEval2017_stmt19_65_87_kissat_output.qdimacs                                              | 0           | 10999         | 8959            | 0              | Yes      
QBFEval2017_stmt19_65_95_kissat_output.qdimacs                                              | 0           | 12453         | 9829            | 0              | Yes      
QBFEval2017_stmt19_66_214_kissat_output.qdimacs                                             | 0           | 3038          | 2139            | 0              | Yes      
QBFEval2017_stmt19_71_95_kissat_output.qdimacs                                              | 0           | 10961         | 10264           | 0              | Yes      
QBFEval2017_stmt19_75_83_kissat_output.qdimacs                                              | 0           | 11682         | 9394            | 0              | Yes      
QBFEval2017_stmt19_75_95_kissat_output.qdimacs                                              | 0           | 13753         | 10699           | 0              | Yes      
QBFEval2017_stmt19_79_83_kissat_output.qdimacs                                              | 0           | 10447         | 9829            | 0              | Yes      
QBFEval2017_stmt19_79_87_kissat_output.qdimacs                                              | 0           | 13042         | 10264           | 0              | Yes      
QBFEval2017_stmt19_83_91_kissat_output.qdimacs                                              | 0           | 12715         | 11134           | 0              | Yes      
QBFEval2017_stmt19_87_95_kissat_output.qdimacs                                              | 0           | 15798         | 12004           | 0              | Yes      
QBFEval2017_stmt19_90_408_kissat_output.qdimacs                                             | 0           | 7175          | 3787            | 0              | Yes      
QBFEval2017_stmt21_143_403_kissat_output.qdimacs                                            | 0           | 6842          | 4057            | 0              | Yes      
QBFEval2017_stmt21_178_258_kissat_output.qdimacs                                            | 0           | 4378          | 3281            | 0              | Yes      
QBFEval2017_stmt21_181_218_kissat_output.qdimacs                                            | 0           | 3503          | 2698            | 0              | Yes      
QBFEval2017_stmt21_354_403_kissat_output.qdimacs                                            | 0           | 8137          | 5867            | 0              | Yes      
QBFEval2017_stmt21_70_369_kissat_output.qdimacs                                             | 0           | 6279          | 3549            | 0              | Yes      
QBFEval2017_stmt21_71_354_kissat_output.qdimacs                                             | 0           | 5900          | 3293            | 0              | Yes      
QBFEval2017_stmt21_71_413_kissat_output.qdimacs                                             | 0           | 7116          | 3545            | 0              | Yes      
QBFEval2017_stmt21_84_215_kissat_output.qdimacs                                             | 0           | 3076          | 2144            | 0              | Yes      
QBFEval2017_stmt21_84_364_kissat_output.qdimacs                                             | 0           | 6288          | 3529            | 0              | Yes      
QBFEval2017_stmt22_311_370_kissat_output.qdimacs                                            | 0           | 7341          | 5263            | 0              | Yes      
QBFEval2017_stmt22_320_370_kissat_output.qdimacs                                            | 0           | 7235          | 5306            | 0              | Yes      
QBFEval2017_stmt22_6_414_kissat_output.qdimacs                                              | 0           | 7078          | 3364            | 0              | Yes      
QBFEval2017_stmt23_66_67_kissat_output.qdimacs                                              | 0           | 1324          | 6349            | 0              | Yes      
QBFEval2017_stmt23_66_76_kissat_output.qdimacs                                              | 0           | 1871          | 7219            | 0              | Yes      
QBFEval2017_stmt23_67_92_kissat_output.qdimacs                                              | 0           | 11914         | 9394            | 0              | Yes      
QBFEval2017_stmt23_88_92_kissat_output.qdimacs                                              | 0           | 12948         | 11569           | 0              | Yes      
QBFEval2017_stmt23_92_96_kissat_output.qdimacs                                              | 0           | 16733         | 12439           | 0              | Yes      
QBFEval2017_stmt25_597_598_kissat_output.qdimacs                                            | 0           | 254           | 930             | 0              | No       
QBFEval2017_stmt27_149_224_kissat_output.qdimacs                                            | 0           | 3452          | 2581            | 0              | Yes      
QBFEval2017_stmt27_16_224_kissat_output.qdimacs                                             | 0           | 3151          | 1778            | 0              | Yes      
QBFEval2017_stmt27_93_98_kissat_output.qdimacs                                              | 0           | 1270          | 2200            | 0              | Yes      
QBFEval2017_stmt28_68_69_kissat_output.qdimacs                                              | 0           | 6255          | 7219            | 0              | Yes      
QBFEval2017_stmt28_68_73_kissat_output.qdimacs                                              | 0           | 7180          | 7654            | 0              | Yes      
QBFEval2017_stmt28_73_85_kissat_output.qdimacs                                              | 0           | 12659         | 9829            | 0              | Yes      
QBFEval2017_stmt28_73_97_kissat_output.qdimacs                                              | 0           | 12819         | 11134           | 0              | Yes      
QBFEval2017_stmt28_89_97_kissat_output.qdimacs                                              | 0           | 17640         | 12874           | 0              | Yes      
QBFEval2017_stmt29_275_376_kissat_output.qdimacs                                            | 0           | 7952          | 5079            | 0              | Yes      
QBFEval2017_stmt31_190_227_kissat_output.qdimacs                                            | 0           | 3403          | 2742            | 0              | Yes      
QBFEval2017_stmt31_22_328_kissat_output.qdimacs                                             | 0           | 5500          | 2937            | 0              | Yes      
QBFEval2017_stmt31_276_328_kissat_output.qdimacs                                            | 0           | 7115          | 4839            | 0              | Yes      
QBFEval2017_stmt41_262_275_kissat_output.qdimacs                                            | 0           | 862           | 1121            | 0              | Yes      
QBFEval2017_stmt41_286_385_kissat_output.qdimacs                                            | 0           | 8142          | 5177            | 0              | Yes      
QBFEval2017_stmt41_336_385_kissat_output.qdimacs                                            | 0           | 8411          | 5573            | 0              | Yes      
QBFEval2017_stmt44_40_387_kissat_output.qdimacs                                             | 0           | 6761          | 3326            | 0              | Yes      
QBFEval2017_stmt46_111_238_kissat_output.qdimacs                                            | 0           | 3352          | 2420            | 0              | Yes      
QBFEval2017_stmt46_289_388_kissat_output.qdimacs                                            | 0           | 8123          | 5255            | 0              | Yes      
QBFEval2017_stmt47_290_340_kissat_output.qdimacs                                            | 0           | 7489          | 5011            | 0              | Yes      
QBFEval2017_stmt47_340_389_kissat_output.qdimacs                                            | 0           | 8451          | 5651            | 0              | Yes      
QBFEval2017_stmt50_343_392_kissat_output.qdimacs                                            | 0           | 8639          | 5713            | 0              | Yes      
QBFEval2017_stmt52_295_394_kissat_output.qdimacs                                            | 0           | 8410          | 5317            | 0              | Yes      
QBFEval2017_stmt53_208_245_kissat_output.qdimacs                                            | 0           | 3650          | 2900            | 0              | Yes      
QBFEval2017_stmt53_296_346_kissat_output.qdimacs                                            | 0           | 7621          | 5073            | 0              | Yes      
QBFEval2017_stmt5_731_730_kissat_output.qdimacs                                             | 0           | 258           | 690             | 0              | No       
QBFEval2017_stmt85_300_399_kissat_output.qdimacs                                            | 0           | 8190          | 5471            | 0              | Yes      
QBFEval2017_trivial_query42_1344n_kissat_output.qdimacs                                     | 0           | 5714          | 2021            | 0              | Yes      
QBFEval2017_trueque_query42_1344n_kissat_output.qdimacs                                     | 0           | 344           | 335             | 0              | No       
QBFEval2017_usb-phy-fixpoint-1_kissat_output.qdimacs                                        | 0           | 2288          | 1631            | 0              | Yes      
QBFEval2017_usb-phy-fixpoint-2_kissat_output.qdimacs                                        | 0           | 4874          | 3674            | 0              | Yes      
QBFEval2017_usb-phy-fixpoint-4_kissat_output.qdimacs                                        | 0           | 14308         | 7766            | 0              | Yes      
QBFEval2017_usb-phy-fixpoint-5_kissat_output.qdimacs                                        | 0           | 18111         | 9812            | 0              | Yes      
QBFEval2018_6s289rb05233_c0to63.sat_kissat_output.qdimacs                                   | 0           | 363240        | 218792          | 0              | Yes      
QBFEval2018_AR-fixpoint-10_kissat_output.qdimacs                                            | 0           | 2199215       | 772793          | 0              | Yes      
QBFEval2018_AR-fixpoint-1_kissat_output.qdimacs                                             | 0           | 110151        | 52530           | 0              | Yes      
QBFEval2018_AR-fixpoint-2_kissat_output.qdimacs                                             | 0           | 306612        | 132561          | 0              | Yes      
QBFEval2018_AR-fixpoint-4_kissat_output.qdimacs                                             | 0           | 721620        | 292619          | 0              | Yes      
QBFEval2018_AR-fixpoint-6_kissat_output.qdimacs                                             | 0           | 1210494       | 452677          | 0              | Yes      
QBFEval2018_AR-fixpoint-8_kissat_output.qdimacs                                             | 0           | 1684180       | 612735          | 0              | Yes      
QBFEval2018_ActivityService2_kissat_output.qdimacs                                          | 0           | 7375          | 4172            | 0              | Yes      
QBFEval2018_ActivityService_kissat_output.qdimacs                                           | 0           | 7375          | 4172            | 0              | Yes      
QBFEval2018_ConcreteActivityService_kissat_output.qdimacs                                   | 0           | 8777          | 4841            | 0              | Yes      
QBFEval2018_GuidanceService2_kissat_output.qdimacs                                          | 0           | 5380          | 3263            | 0              | Yes      
QBFEval2018_GuidanceService_kissat_output.qdimacs                                           | 0           | 5380          | 3263            | 0              | Yes      
QBFEval2018_IssueServiceImpl_kissat_output.qdimacs                                          | 0           | 6038          | 3630            | 0              | Yes      
QBFEval2018_IterationService_kissat_output.qdimacs                                          | 0           | 7375          | 4172            | 0              | Yes      
QBFEval2018_NotificationServiceImpl2_kissat_output.qdimacs                                  | 0           | 11641         | 5402            | 0              | Yes      
QBFEval2018_PhaseService_kissat_output.qdimacs                                              | 0           | 7375          | 4172            | 0              | Yes      
QBFEval2018_Q_2-3_v-80-100_r-11.0_kissat_output.qdimacs                                     | 0           | 1100          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-11.1_kissat_output.qdimacs                                     | 0           | 1100          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-11.2_kissat_output.qdimacs                                     | 0           | 1100          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-11.3_kissat_output.qdimacs                                     | 0           | 1100          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-11.4_kissat_output.qdimacs                                     | 0           | 1100          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-11.5_kissat_output.qdimacs                                     | 0           | 1100          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-11.6_kissat_output.qdimacs                                     | 0           | 1100          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-11.7_kissat_output.qdimacs                                     | 0           | 1100          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-11.8_kissat_output.qdimacs                                     | 0           | 1100          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-11.9_kissat_output.qdimacs                                     | 0           | 1100          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-13.0_kissat_output.qdimacs                                     | 0           | 1300          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-13.1_kissat_output.qdimacs                                     | 0           | 1300          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-13.2_kissat_output.qdimacs                                     | 0           | 1300          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-13.3_kissat_output.qdimacs                                     | 0           | 1300          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-13.4_kissat_output.qdimacs                                     | 0           | 1300          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-13.5_kissat_output.qdimacs                                     | 0           | 1300          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-13.6_kissat_output.qdimacs                                     | 0           | 1300          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-13.7_kissat_output.qdimacs                                     | 0           | 1300          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-13.8_kissat_output.qdimacs                                     | 0           | 1300          | 180             | 0              | No       
QBFEval2018_Q_2-3_v-80-100_r-13.9_kissat_output.qdimacs                                     | 0           | 1300          | 180             | 0              | No       
QBFEval2018_UserServiceImpl_kissat_output.qdimacs                                           | 0           | 6852          | 4042            | 0              | Yes      
QBFEval2018_amba2c7n.sat_kissat_output.qdimacs                                              | 0           | 4531          | 1381            | 0              | Yes      
QBFEval2018_amba2f9n.sat_kissat_output.qdimacs                                              | 0           | 6562          | 1567            | 0              | Yes      
QBFEval2018_amba3b5y.sat_kissat_output.qdimacs                                              | 0           | 9776          | 1627            | 0              | Yes      
QBFEval2018_axquery_query42_1344n_kissat_output.qdimacs                                     | 0           | 1304          | 618             | 0              | Yes      
QBFEval2018_beemldelec4b1_c0to127.sat_kissat_output.qdimacs                                 | 0           | 128983        | 74715           | 0              | Yes      
QBFEval2018_beemskbn1f1_c0to7.sat_kissat_output.qdimacs                                     | 0           | 64652         | 34863           | 0              | Yes      
QBFEval2018_bs128n.sat_kissat_output.qdimacs                                                | 0           | 9719          | 6938            | 0              | Yes      
QBFEval2018_bs128y.sat_kissat_output.qdimacs                                                | 0           | 9736          | 6934            | 0              | Yes      
QBFEval2018_cache-coherence-2-fixpoint-2_kissat_output.qdimacs                              | 0           | 4856          | 3686            | 0              | Yes      
QBFEval2018_cache-coherence-2-fixpoint-4_kissat_output.qdimacs                              | 0           | 13167         | 7632            | 0              | Yes      
QBFEval2018_cache-coherence-2-fixpoint-5_kissat_output.qdimacs                              | 0           | 16643         | 9605            | 0              | Yes      
QBFEval2018_cache-coherence-2-fixpoint-6_kissat_output.qdimacs                              | 0           | 20127         | 11578           | 0              | Yes      
QBFEval2018_cache-coherence-3-fixpoint-1_kissat_output.qdimacs                              | 0           | 3515          | 2545            | 0              | Yes      
QBFEval2018_cache-coherence-3-fixpoint-2_kissat_output.qdimacs                              | 0           | 9533          | 5489            | 0              | Yes      
QBFEval2018_cache-coherence-3-fixpoint-3_kissat_output.qdimacs                              | 0           | 14677         | 8435            | 0              | Yes      
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#288.w#6.s#2.asp_kissat_output.qdimacs                    | 0           | 9499          | 7011            | 0              | Yes      
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#384.w#6.s#8.asp_kissat_output.qdimacs                    | 0           | 12105         | 9315            | 0              | Yes      
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#400.w#2.s#1.asp_kissat_output.qdimacs                    | 0           | 2714          | 3299            | 0              | No       
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#408.w#2.s#1.asp_kissat_output.qdimacs                    | 0           | 2754          | 3363            | 0              | Yes      
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#408.w#2.s#2.asp_kissat_output.qdimacs                    | 0           | 2776          | 3363            | 0              | No       
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#416.w#2.s#3.asp_kissat_output.qdimacs                    | 0           | 2819          | 3427            | 0              | No       
