Name                                                                  | Status                                             | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time          | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
Arithmetic_subtraction64                                              | Preproc Solved, FG skipped.                        | 570 / 0 / 570       | 442 / 0 / 442       | 1552 / 0 / 1551      | 0.17 / 0.0 / 0.11       | PreProc-ed 1 rounds           |                   |                    |                  |                |            |                                                         |            
QBFEval2017_query33_query51_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 907 / 0 / 633       | 841 / 0 / 633       | 1995 / 0 / 609       | 2.71 / 1.35 / 0.69      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.07       
QBFEval2018_small-equiv-fixpoint-1                                    | Preproc finished unsolved, FG skipped, MUS skipped | 3006 / 0 / 1985     | 2942 / 0 / 1985     | 9881 / 0 / 4403      | 5.14 / 2.91 / 1.3       | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2017_stmt17_82_86                                              | Preproc finished unsolved, FG skipped, MUS skipped | 10699 / 67 / 8519   | 10249 / 34 / 8386   | 41813 / 69 / 29853   | 21.02 / 3.57 / 9.27     | PreProc-ed 3 rounds           |                   |                    |                  |                |            |                                                         | 0.16       
QBFEval2017_small-synabs-fixpoint-10                                  | Preproc finished unsolved, FG skipped, MUS skipped | 2138 / 0 / 1382     | 1874 / 0 / 1382     | 6391 / 0 / 3506      | 4.68 / 1.66 / 1.7       | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_stmt41_286_385                                            | Preproc finished unsolved, FG skipped, MUS skipped | 5177 / 4 / 3493     | 4912 / 4 / 3457     | 17368 / 16 / 9210    | 11.83 / 3.52 / 4.14     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2017_AR-fixpoint-8                                             | Preproc finished unsolved, FG skipped, MUS skipped | 612734 / 0 / 176362 | 567716 / 0 / 176362 | 1972981 / 0 / 288593 | 1804.88 / 0.0 / 1535.62 | Kissat Timeout after 0 rounds |                   |                    |                  |                |            |                                                         | 2.32       
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#288.w#6.s#2.asp                    | Preproc finished unsolved, FG skipped, MUS skipped | 7011 / 0 / 5511     | 6971 / 0 / 5511     | 20734 / 0 / 11235    | 4.83 / 1.47 / 1.51      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2018_stmt44_554_604                                            | Preproc finished unsolved, FG skipped, MUS skipped | 883 / 43 / 783      | 808 / 23 / 750      | 2789 / 46 / 2497     | 1.08 / 0.3 / 0.54       | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_stmt19_75_83                                              | Preproc finished unsolved, FG skipped, MUS skipped | 9394 / 67 / 7316    | 8973 / 34 / 7194    | 36512 / 69 / 24761   | 12.24 / 2.22 / 5.5      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.12       
Disjunctive_Decomposition_bobsynth07neg_all_bit_differing_from_cycle  | Preproc finished unsolved, FG skipped, MUS skipped | 7656 / 0 / 1611     | 4747 / 0 / 1611     | 22940 / 0 / 2539     | 11.72 / 4.12 / 4.02     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.16       
QBFEval2017_sortnetsort8.AE.stepl.004                                 | Preproc finished unsolved, FG skipped, MUS skipped | 2465 / 0 / 720      | 2017 / 0 / 720      | 4124 / 0 / 843       | 2.91 / 1.92 / 0.55      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
Disjunctive_Decomposition_bobtuint09neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped.                        | 1190 / 0 / 1190     | 978 / 0 / 978       | 3621 / 0 / 3620      | 0.35 / 0.0 / 0.18       | PreProc-ed 1 rounds           |                   |                    |                  |                |            |                                                         |            
QBFEval2018_small-seq-fixpoint-1                                      | Preproc finished unsolved, FG skipped, MUS skipped | 2129 / 0 / 910      | 1725 / 0 / 910      | 6157 / 0 / 1906      | 2.85 / 1.52 / 0.58      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.07       
QBFEval2018_query42_query42_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 10043 / 0 / 6092    | 9863 / 0 / 6092     | 53216 / 0 / 5868     | 9.92 / 1.93 / 4.92      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.16       
QBFEval2018_driver_b8n.sat                                            | Preproc finished unsolved, FG skipped, MUS skipped | 5675 / 0 / 4434     | 5335 / 0 / 4434     | 15787 / 0 / 10136    | 10.7 / 4.36 / 3.56      | PreProc-ed 3 rounds           |                   |                    |                  |                |            |                                                         | 0.39       
QBFEval2018_Q_2-3_v-80-100_r-11.5                                     | Preproc finished unsolved, FG skipped, MUS skipped | 180 / 0 / 0         | 100 / 0 / 0         | 1100 / 0 / 0         | 0.64 / 0.54 / 0.06      | PreProc-ed 1 rounds           |                   |                    |                  |                |            |                                                         | 0.03       
QBFEval2018_itc-b13-fixpoint-3                                        | Preproc finished unsolved, FG skipped, MUS skipped | 3509 / 68 / 3126    | 3295 / 68 / 3114    | 10014 / 142 / 8774   | 4.1 / 1.45 / 1.3        | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.12       
Arithmetic_max32                                                      | Preproc finished unsolved, FG skipped, MUS skipped | 211 / 0 / 70        | 147 / 0 / 70        | 613 / 0 / 204        | 0.93 / 0.43 / 0.3       | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_stmt19_83_412                                             | Preproc finished unsolved, FG skipped, MUS skipped | 3773 / 4 / 2271     | 3493 / 4 / 2227     | 12779 / 16 / 5626    | 8.09 / 3.15 / 2.48      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#1.asp                    | Preproc finished unsolved, FG skipped, MUS skipped | 3247 / 0 / 2606     | 3119 / 0 / 2606     | 9214 / 0 / 6030      | 3.27 / 1.96 / 0.71      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.12       
Arithmetic_intermediate1024                                           | Preproc finished unsolved, FG skipped, MUS skipped | 10238 / 0 / 4095    | 8190 / 0 / 4095     | 29684 / 0 / 3089     | 13.71 / 4.85 / 4.52     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.16       
QBFEval2018_query25_query42_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 1026 / 0 / 691      | 952 / 0 / 691       | 2427 / 0 / 675       | 1.97 / 1.13 / 0.45      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_decomposition128                                          | Preproc Solved, FG skipped.                        | 1145 / 0 / 1145     | 1017 / 0 / 1017     | 3154 / 0 / 3153      | 0.14 / 0.0 / 0.1        | PreProc-ed 1 rounds           |                   |                    |                  |                |            |                                                         |            
QBFEval2017_sortnetsort9.AE.stepl.004                                 | Preproc finished unsolved, FG skipped, MUS skipped | 3231 / 0 / 905      | 2639 / 0 / 905      | 5398 / 0 / 1044      | 3.81 / 2.41 / 0.78      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_ActivityService                                           | Preproc finished unsolved, FG skipped, MUS skipped | 4169 / 0 / 2861     | 4099 / 0 / 2861     | 15082 / 0 / 7707     | 8.14 / 4.44 / 2.27      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.07       
QBFEval2018_stmt1_79_80                                               | Preproc finished unsolved, FG skipped, MUS skipped | 2012 / 66 / 1635    | 1782 / 34 / 1560    | 6766 / 68 / 5513     | 3.68 / 1.23 / 1.46      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
