sno  clip   time         num            file
     depth  taken        soln           name
            (sec)             
---  ---    ---          ---            ---
137  50     NA           NA             6s274r_bdd.blif
138  75     NA           NA             6s274r_bdd.blif
139  100    NA           NA             6s274r_bdd.blif
140  200    NA           NA             6s274r_bdd.blif
141  300    NA           NA             6s274r_bdd.blif
142  400    NA           NA             6s274r_bdd.blif
143  800    NA           NA             6s274r_bdd.blif
144  1600   NA           NA             6s274r_bdd.blif
145  10     1.65953      4.91661e+1692  6s275rb318_bdd.blif
146  20     3.19817      4.91661e+1692  6s275rb318_bdd.blif
147  30     4.74058      4.91661e+1692  6s275rb318_bdd.blif
148  40     6.28716      4.91661e+1692  6s275rb318_bdd.blif
149  50     7.81836      4.91661e+1692  6s275rb318_bdd.blif
150  75     11.6609      4.91661e+1692  6s275rb318_bdd.blif
151  100    15.418       4.91661e+1692  6s275rb318_bdd.blif
152  200    30.7475      4.91661e+1692  6s275rb318_bdd.blif
153  300    46.1432      4.91661e+1692  6s275rb318_bdd.blif
154  400    61.4029      4.91661e+1692  6s275rb318_bdd.blif
155  800    NA           NA             6s275rb318_bdd.blif
156  1600   NA           NA             6s275rb318_bdd.blif
157  10     1.63467      5.03461e+1695  6s276rb342_bdd.blif
158  20     3.2654       5.03461e+1695  6s276rb342_bdd.blif
159  30     4.92872      5.03461e+1695  6s276rb342_bdd.blif
160  40     6.4821       5.03461e+1695  6s276rb342_bdd.blif
161  50     8.13966      5.03461e+1695  6s276rb342_bdd.blif
162  75     12.1702      5.03461e+1695  6s276rb342_bdd.blif
163  100    16.2893      5.03461e+1695  6s276rb342_bdd.blif
164  200    32.4092      5.03461e+1695  6s276rb342_bdd.blif
165  300    48.8303      5.03461e+1695  6s276rb342_bdd.blif
166  400    65.1245      5.03461e+1695  6s276rb342_bdd.blif
167  800    NA           NA             6s276rb342_bdd.blif
168  1600   NA           NA             6s276rb342_bdd.blif
169  10     NA           NA             6s280r_bdd.blif
170  20     NA           NA             6s280r_bdd.blif
171  30     NA           NA             6s280r_bdd.blif
172  40     NA           NA             6s280r_bdd.blif
173  50     NA           NA             6s280r_bdd.blif
